Question,GPT-4o_Answer,Actual_Answer,Score
Kíni Yorùbá n pè “Àrokò”,Àrokò ni Yorùbá n pè eré àti àmì àwọn ìránṣẹ́ kíá ti a n fi í kéde síséραν ẹ̀nuṣiṣẹ́ láì sí ọrọ̀.,Ọ̀nà tí a fi ń bára wa sọ̀rọ̀ tí a kòsì fẹ́ kí ó yé ẹnikẹta,0
"Kíni ""Wood Pecker"" ní Yorùbá?",Ìyáṣáǹpẹ̀.,ẹyẹ akoko,0
"Kíni ""Brag"" ní Yorùbá?",Ìtara.,Fọ́nnu,0
Parí òwe yìí: A fàtelewo fanná,Afá dànù.,kìí dáwó dúró,0
"Kíni ""Teak tree"" ní Yorùbá?",Igi teak.,Igi Ìrókò,0
Kini èjè rùn kanra túmò si?,"Èjè rùn kanra túmò si àìsàn tàbí arùn tó ń ṣe agbára, tó sì ń pọnni.",A máa ń lòó ọ̀rọ̀ yí bí a bá ṣe pàdé ará ilé ẹni láìròtẹ́lẹ̀,0
"Kíni ""Desolate"" ní Yorùbá?","""Desolate"" ní Yorùbá túmọ̀ sí ""ìpàdé"" tàbí ""ìṣànkí"".",Ahóró,0
"Kíni ""Sparrow"" ní Yorùbá?",Eyo.,alápàándèdè,0
Kíni iyato láàárín ẹgbẹ̀ta àti ẹgbàta?,Àwọn títí àlàáfíà àti àlàúpẹ̀. Ọ̀kan yó jẹ̀ ẹgbẹ̀ta (300) àti ọ̀kan èkejì ni ẹgbàta (200).,"ẹgbẹ̀ta - 600 
 ẹgbàta - 6000",0
"Parí òwe yìí...
 Akìí gbé ẹran erin lóri...?",Apàta.,Kí a máa fi ẹsẹ̀ wa ihò ìrẹ̀(cricket),0
Irú ọmọ wo ni wón ń pè ní Ìdògbé?,Wọ́n ń pè ọmọ tí o kéré jù láàárín ìbejì ní Ìdògbé.,Ọmọ tí a bí lẹ́hìn Àlàbá,0
"Kíni ""Creeper"" ní Yorùbá?",Apáàjò lásán.,Àfòmọ́,0
"Kíni àwon orọ wọnyí ""belching or burping"" tun mò sí ní Yorùbá","""Wòlálà"" ni a tún mọ́ sí ní Yorùbá.",Gùnfẹ̀,0
"Àwọn wo ni wón ma n ""sun ijálá""","Àwọn ìjalá ńran ni wón ma n ""sun ijálá.""",Àwọn ọlọ́de,0
"Kíni ""Hiccups"" ní Yorùbá?","Hiccups ní Yorùbá ni ""ÍTỌ́KÙTỌ́"".",Òsúkè,0
"Kíni ""Cobweb"" ní Yorùbá?",Àwọ̀n àdìyá.,Ówú alántakùn,0
"Kíni ọrọ yí túmosí ""takété""",Aṣọ́ aláwọ̀ dúdú.,Kí ènìyàn dúró sí ọ̀nà tó jìn,0
"Kíni ""Striike"" ní Yorùbá?",Ìdálẹ́kọ.,ìyanşélódì,0
Kíni màjàlà tún mọ sí ?,Màjàlà tún mọ sí lára-ẹni.,Oun tí ó máa ń bá iná jíjó lọ sókè (burnt flakes),0
"Kíni ""width"" ní Yorùbá?",Òkè-àárín.,ìbú,0
"Kíni Yorùbá ""height"" àti ""length""?","Yorùbá ""height"" ni gíga, ""length"" ni gígùn.",Gíga àti Gígùn,0
"Tani ó kọ ìwé yìí ""ogboju odẹ nínú igbó irúnmolè""?","D.O. Fagunwa ni ó kọ ìwé ""Ògbójú Ọdẹ Nínú Igbó Irúnmọlẹ̀"".",Daniel Ọlọ́runfẹ́mi Fágúnwà,0
"Kíni ""Wood Carver"" ní Yorùbá?",Onígègùn.,Agbẹ́gilére,0
"Kíni ""Bone Marrow"" ní Yorùbá?",Ọkà ara.,Mùdùnmúdùn,0
Parí òwe yìí: ajá kìí rorò títí,ajá kìí rorò títí kó má jè̩ è̩kùro.,Kí ó ṣọ́ ojúlé méjì papọ̀,0
"Yato sí pàsán, àtòrì àti ẹgba kí tún ní orúkọ tí Yorùbá n pè ""cane""?",Koboko.,Ọrẹ́,0
"Parí òwe yìí: ẹgbẹrin òtẹ,...",...ẹni kan níí ṣòrò.,..bí a ṣe ń pakan nìkán rúwẹ́,0
"Kíni ""Launching"" ní Yorùbá?",Ọṣiṣẹ́n.,Ìfilọ́lẹ̀,0
Àwọn agbá bò wọ́n ní 'adìyẹ ìrànà kì í ṣe òun ajẹgbẹ' ...kíni Adìyẹ ìrànà?,Adìyẹ ìrànà jẹ́ adìyẹ tí wọ́n máa ń fi fúnfun tàbí ti ọwọ̀rọ̀.,Adìyẹ tí à ń pa fún òkú,0
Ṣe àtúnṣe àti àtúnpà òwe Yorùbá yìí 'oyè tó kan ará ìwó ń bọ́ wá kan ará ẹ̀dẹ',"Ẹ̀jẹ́ ka sọ pé: ""Óyè tó kan ará ìwó ń bọ́, a fẹ́ káa dí ará ẹ̀dẹ""",Oyè tó kan ará Aho ń bọ́ wá kan ará ẹ̀dẹ,0
Àwọn wo ni Yorùbá ḿ pè ní 'òrùn ẹní' àti pé kíni ìdí tí wọ́n fi ń pè wọ́n bẹ?,Yorùbá ma ń pè àwọn tó jọkòó kòkósẹ ní 'òrùn ẹní' nítorí pé wọn kò ṣeé yọkúrò nídìí oúnjẹ tàbí ètò náà láìsí ìyókúrò tuntun tàbí ìrísí àìnírísisí.,Òbí ẹni,0
Kíni ìtumọ̀ òwe yìí 'alágbára má mọ èrò baba ọ̀lẹ?',Ìtumọ̀ òwe yìí ni pé ẹni tó bá ti ni agbára yẹ kò gbójú lé iranlọ́wọ́ tàbí àwọn èrò ẹni tí kò fẹ́ sapá.,Ẹnití ó bá pe ara rẹ̀ ní alágbára gbúdò máa ṣe ìwáàdí láti mọ èrò nígbogbo ìgbà,0
Parí òwe yìí: Ẹni tí ẹgún bá gúnlẹ̀sẹ̀?,Ẹni tí ẹgún bá gúnlẹ̀sẹ̀ á rọra bínú.,Ni ń sá làkàlàkà relé alábẹ,0
Parí òwe yìí: Sàn-án lààrín...,...aró àti ọ̀sán.,...ajé ní múni pẹ́ kọ̀rọ̀,0
"Parí òwe Yorùbá yìí:
 'Ẹ gún ẹṣin ní kẹṣẹ, ẹ lọ ńtàpá' ...............?",Ẹgbẹ́ ẹsè.,"Ẹgún ẹṣin ní kẹṣẹ ẹ ní ó ń tàpá, baba ta ló ma ti rin bọ̀ láyà tí ò ní tākítì",0
"Fi ọ̀rọ̀ tó bá yé sí àlàfo yìí
 'Ọ̀pọ̀ igi ní bẹ̀ nìgbó ká tó fi .... gbẹ́ gbẹ̀du?",Tẹtẹ.,igi ọ̀mọ̀,0
Kíni Yorùbá n pè ní àpáádì?,Àpáádì fún ara ẹni tàbí ojúgbà.,àfọ́kù ìkòkò,0
Irú ọbẹ wo ni Yorùbá n pè ní ọbẹ àtẹ?,"Ọbẹ tí a fi ẹran, ẹja tàbí àwọn ohun mímu kan báì lara.",Ọbè tí a kò fi iyọ̀ sí,0
"Parí òwe Yorùbá yìí
 'À pa àímú délé......?",".... à n fí i loríkinní.""",Ni ò jẹ́ kamọ̀ pé ológbò ń ṣe ọdẹ,0
"Parí òwe yìí:
 'Àtìrà ibọn kò tó àtìrà ẹtù.......?'",Àtìrà ibọn kò tó àtìrà ẹtù abẹ́ ẹtù ni owúra ní ńgbọ.,"Nítorí ojókan làá ra ìbọn, ojoójúmọ́ làá ra ẹ̀tù",0
"Kíni ""Red river hog"" ní Yorùbá?",Ẹlẹ́dùúmarìdí.,Túùpú,0
"Kíni ""personification"" ní Yorùbá?","Personification ní Yorùbá túmọ̀ sí ""Àpèjọ ẹni"".",Ìfohunpènìyàn,0
"Kíni ""gourd"" ní Yorùbá?","""Igbá"" ni ""gourd"" ní Yorùbá.",àdó,0
"Kíni ""Animal Shell"" ní Yorùbá?","""Eyin Eranko.""",Ìkarahun,0
"Kíni ""Nettle rash"" ní Yorùbá?","""Wárápá"" ni ""Nettle rash"" ní Yorùbá.",Inárun,0
"Nínú ayò (ọpọ́n)
 ihò mééló ní ó wà nínú àpótí ayò ọpọ́n.....?",Mẹ́fà.,Méjìlá(12),0
"Kíni ""Lightning"" ní Yorùbá?","""Àmùrà"" ni ""Lightning"" ní Yorùbá.",Mọ̀nàmọ́ná,0
