295,Ṣàlàyé Orúkọ yìí: òkánlàwọ́n,Ọmọ obìnrin tàbí okùnrin tí a bí la àwọn ọmọ tókù ní ìdílé kan,,Ọmọ  tí ó ní ọ̀pọ̀lọ̀pọ̀ ènìyàn,Orúkọ fún ilé tí ó ní ọ̀pọ̀lọ̀pọ̀ àwọn ohun,ohun tí ó ní ọ̀pọ̀lọ̀pọ̀ ẹ̀ka,iye tí ó pọ̀ ju ọ̀kan lọ,Ọmọ obìnrin tàbí okùnrin tí a bí la àwọn ọmọ tókù ní ìdílé kan
296,"Kíni ""Addiction"" ní Yorùbá?",Bárakú,,Ìfẹ́kúfẹ̀ẹ́,Bárakú,Ìfẹ́júmọ́ra,Ìgbẹ́kẹ̀lẹ́,Àṣejù
297,Kíni 'formal letter' àti 'informal letter' ní Yorùbá,"Lẹ́tà Gbẹ̀fẹ́ - Informal
 Lẹ́tà Àìgbẹ̀fẹ́ - Formal",,"Lẹ́tà Ìrọ̀rùn - Informal
Lẹ́tà Ìlànà - Formal","Lẹ́tà Ọ̀rẹ́ - Informal
Lẹ́tà Àṣẹ - Formal","Lẹ́tà Gbẹ̀fẹ́ - Informal
Lẹ́tà Àìgbẹ̀fẹ́ - Formal","Lẹ́tà Ìgbádùn - Informal
Lẹ́tà Ìjẹ́pàtàkì - Formal","Lẹ́tà Ìṣọ̀kan - Informal
Lẹ́tà Àṣẹ́yọrí - Formal"
298,"Kíni ""Fiancee"" ní Yorùbá?",Àfẹ́sọ́nà,,Àbúrò-ọkọ,Ìyàwó-ọ̀dẹ́,Ìyàwó-ìlú,Àfẹ́sọ́nà,Ọ̀rẹ́-àgbà
299,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eja n bakan""",Látì fi mọ̀ bóyá ǹkan tí a lérò ló bọ́ sí tàbí ìdàkejì,,Látì fi mọ̀ bóyá ǹkan tí a lérò ló bọ́ sí tàbí ìdàkejì,Láti mọ̀ pé ǹkan tí a rà lè darà pọ̀ mó ǹkan mìíràn,Láti mọ̀ pé ó lè ṣeé ṣe láti pàárọ̀ ǹkan méjì,Láti mọ̀ pé ìmọ̀ kan lè mú àyè mìíràn wá,Láti mọ̀ pé àṣa kan lè yatò sí àṣa mìíràn
300,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ikalaya""",Ohun tó kọjá agbára,,Ohun tó léwu púpọ̀,Ohun tó kọjá agbára,Ohun tó nira gidigidi,Ohun tó rọrùn,Ohun tó burú jáì
301,"Kíni ""Ass"" ní Yorùbá?",Kẹ́tẹ́kẹ́tẹ́,,Kẹ́tẹ́kẹ́tẹ́,Ẹja,Àgbàdo,Ẹ̀gbọ̀n,Ilé
302,"Kíni ""Bat"" ní Yorùbá?",Àdán,,Ìgbín,Àgùntàn,Àdán,Ẹyẹ,Ẹja
303,"Parí òwe yìí.
 Eni yá ẹ̀gbẹ̀fà tí ò san",Ó ti gbẹ́gi dínà egbèje,,ìjà ló ń wa,ó di aláìnígbà,Ó ti gbẹ́gi dínà egbèje,òun àti ọ̀rẹ́ rẹ̀ ti yà,ilé ẹjọ́ ló máa lọ
304,"""Ọjọ wo, oṣù wo ni a dá Ìpínlẹ̀ Òndó.""","Ọjọ́ Kẹta, Oṣù Èrèlé (03/02)",,"Ọjọ́ Kẹta, Oṣù Èrèlé (03/02)","Ọjọ́ Kẹwàá, Oṣù Ògún (10/06)","Ọjọ́ Kejìlélógún, Oṣù Ẹ̀bìbì (22/08)","Ọjọ́ Kẹrinlá, Oṣù Ọ̀wẹ̀wẹ̀ (14/07)","Ọjọ́ Kẹtàlélógún, Oṣù Òkùdù (23/12)"
305,"Kíni ""Entrepreneurship"" ní Yorùbá?",Ìṣòwò,,Ìdàgbàsókè,Ìṣòwò,Ìṣètò Ìṣòwò,Ìgbésẹ̀ Ọ̀rọ̀ Ajé,Ìdásílẹ̀ Ọjà Tuntun
306,"Kíni ""Job Interview"" ní Yorùbá?",Ìfọ̀rọ̀wánilẹ́nuwò fún iṣẹ́,,Ìwádìí iṣẹ́,Ìbéèrè iṣẹ́,Ìfọ̀rọ̀wánilẹ́nuwò fún iṣẹ́,Àyẹ̀wò iṣẹ́,Ìdánwò iṣẹ́
307,"Kíni ""Screen"" ní Yorùbá?",Atẹ agbàwòrántàn,,Ẹ̀rọ-ìfihàn,Ìtàn-ojú,Ilé-àwòrán,Àwòrán-ìdánimọ̀,Atẹ agbàwòrántàn
308,"Kíni ""Insurance"" ní Yorùbá?",Adójútòfò,,Ìwé Ìṣọ́ra,Adójútòfò,Ààbọ̀ Ọrọ̀-Ajé,Ètò Ìpamọ́ Ìnáwó,Àdéhùn Ìtọ́jú Ọrọ̀
309,"""Parí òwe yìí.
 Igi gògóró má gún mí lójú...""",Àtòkèèrè làti lọ́,,nínú àlá mi,nígbà tí mo sùn,lórí òkè yìí,Àtòkèèrè làti lọ́,nígbà tí mo ń lọ
310,"Kíni ""Shares"" ní Yorùbá?",Ìpín okòwò,,Àwọn Ìpín,Ìpínlẹ́,Àwọn Ọwọ́,Ìpín okòwò,Ìdágbà
311,Ta ló kọ ewì “Ìṣẹ̀ l’ògún Ìṣẹ̀” àti ní ọdún wo?,J.F. Ọdúnjọ - 1950,,A.O. Ọlátúnjí - 1965,C.O. Ọ̀gúndélé - 1948,D.I. Ọ̀kẹ́yẹmí - 1980,J.F. Ọdúnjọ - 1950,F.K. Adébáyọ̀ - 1960
312,"Kíni ìtumọ̀ “The fall of Naira, the rise of entrepreneur” ní Yorùbá?","Ìṣúbù Nàírà, ìgbésókè àwọn oníṣòwò",,"Ìṣúbù Nàírà, ìgbésókè àwọn oníṣòwò","Ìṣubú Náírà, ìgbéga àwọn olùṣọ́ àgùntàn","Ìdàgbà Náírà, ìdàgbà àwọn akọrin","Ìrẹ̀lẹ̀ Náírà, ìgbéga àwọn alásọ","Ìdínkù Náírà, ìdàgbà àwọn apẹja"
314,"Parí òwe Yorùbá yìí
 Títa rírò là ń kòlà...",Tó bá jiná tán á doge,,kí a tó gbélé,kí a tó gbìn oko,kí a tó hun aṣọ,kí a tó gbẹ́ igi,Tó bá jiná tán á doge
315,Tani Gómìnà alágbádá àkọ́̀kọ́ ní Ìpínlẹ̀ Òndó?,Olóyè Michael Adékúnlé Ajáṣin,,Olóyè Samuel Ọlániyì Adébáyò,Olóyè Michael Adékúnlé Ajáṣin,Olóyè David Ìféolúwá Ọláwólé,Olóyè Peter Ọláyínká Adéṣiná,Olóyè John Olúwáṣéun Ọmótóyè
317,"""Aláké"" is to Ègbá, what is the title of the king in ""Oshòdì town"" of Lagos State?",Kòsọ́ba lóṣhòdì,,Adéṣínà,Bàáléọjà,Ọmọ́ọba,Kòsọ́ba lóṣhòdì,Aṣíwájú
318,"Kíni ""Private Company"" ní Yorùbá?",Ilé-iṣé aládàni,,Àjọ Ìṣòwò Ìkọ̀kọ̀,Ẹgbẹ́ Ọjà Ìyàsọ́tọ̀,Ilé-iṣẹ́ Ìpamọ́,Ilé-iṣé aládàni,Ilé-iṣẹ́ Ìkọ̀kọ̀
319,"Kíni ""Mentor"" ní Yorùbá?",Àwòkọ́se,,Olùdarí,Olùtọ́jú,Àwòkọ́se,Olùṣọ́,Olùbẹ́wò
320,What is the meaning of this ancient word 'Nínú ẹ̀gbin ni ọlá ń gbé'?,"Tí ènìyàn bá fẹ́ ní ọlà, ó gbùdọ̀ ṣe ohun tí yíò mú ohun ìwòsí tàbí ìdọ̀tí báa",,"Tí ènìyàn bá fẹ́ ní ọlà, ó gbùdọ̀ ṣe ohun tí yíò mú ohun ìwòsí tàbí ìdọ̀tí báa",Nínú ọrọ̀ ni àìsàn ń gbé,Nínú òkùnkùn ni ẹ̀rù ń gbé,Nínú ìjà ni ìbínú ń gbé,Nínú ọ̀yẹ̀ ni òtútù ń gbé
321,Kíni ìtumọ̀ ọ̀rò yìí 'ìwọfà'?,Ẹrú,,Àlejò,Ẹrú,Àgbẹ̀,Ọ̀ṣìṣẹ́,Ìránṣẹ́
322,Kíni 'àdìrò' túmò sí?,Orí ibi tí a ti máa ń dáná,,Orí ibi tí a ti máa ń gbàdúrà.,Orí ibi tí a ti máa ń sùn,Orí ibi tí a ti máa ń kọrin,Orí ibi tí a ti máa ń dáná,Orí ibi tí a ti máa ń rà ọjà
323,Kíni 'ídán' túmò sí ní èdè Yorùbá?,Ohun tí a ṣe tí ó ṣe ènìyàn ní kàyéfì,,Ẹ̀wà,Ohun tí a ṣe tí ó ṣe ènìyàn ní kàyéfì,Ohun tí a ṣe tí ó mú kí ènìyàn bínú,Ohun tí a ṣe tí ó mú kí ènìyàn ṣàìsàn,Ohun tí a ṣe tí ó mú kí ènìyàn gbàgbé
324,Kíni ìgìrìpá/gìrìpá túmò sí? Njẹ́ o le ṣàlàyé?,Àwọn tó ga,,Àwọn tó rọ̀,Àwọn tó ga,Àwọn tó gbóná,Àwọn tó tutù,Àwọn tó yára
325,"Kíni ""Crab"" ní Yorùbá?",Akàn,,Àgbákò,Ìṣù,Akàn,Ẹ̀fó,Àgbà
326,Kíni à ń pè ní 'òtítà'?,Àpótí,,Àgọ̀,Àṣọ,Àdá,Àpótí,Àtọ̀
327,"Kíni ""pig"" ní Yorùbá?",Ẹlẹ́dẹ̀,,Àgùntàn,Ẹlẹ́dẹ̀,Ọ̀bo,Ẹranko,Àgbọ̀nrín
328,"Kíni ""pot"" ní Yorùbá?",Ìkòkò ìdáná,,Ìkòkò ìdáná,Àpótí,Ìgò,Àwo,Agbọ̀n
329,"Kíni ""fox"" ní Yorùbá?",Kọ̀lọ̀kọ̀lọ̀(Ajá igbo),,Ìjàpá,Ẹkùn,Kọ̀lọ̀kọ̀lọ̀(Ajá igbo),Àgùntàn,Àdán
330,"Kíni ""sheep"" ní Yorùbá?",Àgùntàn,,Àgbọ̀nrín,Àgùnfọn,Àgùntàn,Kọ̀lọ̀kọ̀lọ̀,Àgádágodo
331,"Kíni ""House of representatives"" ní Yorùbá?",Ilé ìgbìmọ aṣójúṣòfin,,Àpéjọ Àwọn Ọ̀gá,Àwọn Ọ̀gá Ìlànà Ìjọba,Àjọ Àwọn Alágbà,Àwọn Ẹni Ìṣèjọba,Ilé ìgbìmọ aṣójúṣòfin
333,"Sàlàyé òwe yì: 
 Ènì rúbọ òrìṣà á gbọ́dọ̀ rú ti èèyàn kí ẹbọ ó tó gbà",Irú ẹni bẹ́ẹ̀ gbúdọ̀ tẹ́ àwọn ènìyàn ní àyíká rẹ̀ lọ́rùn,,Irú ẹni bẹ́ẹ̀ gbúdọ̀ tẹ́ àwọn ènìyàn ní àyíká rẹ̀ lọ́rùn,Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa pín oúnjẹ àwọn ènìyàn tó wà ní ìlú,"""Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ jẹ́ kí àwọn ènìyàn máa ṣe ìpinnu fún un","""Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa gbọ́ ọ̀rọ̀ àwọn ènìyàn láìsí àríyànjiyàn","Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa ṣe ohun tí àwọn ènìyàn fẹ́, láìka ohun tó wù ú"
334,"Parí òwe yìí:
 'Àjọ kìí dùn...'",Kódídẹ́ má rèwò,,bí kò bá sí oúnjẹ,láìsí ìṣòro,Kódídẹ́ má rèwò,láìsí ọ̀rọ̀,títí gbogbo ènìyàn yóò fi dé
335,"Parí òwe yìí:
 Ènì tí yóò mu ẹkọ́ fòró..",,,yóò fi ọwọ́ gbà á,yóò gbàgbé ìyọ̀,yóò sùn lórí ilẹ̀,yóò fi epo ṣè é,yóò fi òkúta gún un
336,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Feraku""?",Lóyún,,Àìsàn,bínú,Òtútù,bẹ̀rù,Lóyún
337,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Terigbaso""?",Ṣe aláìsí,,Ṣe àìnírètí,Ṣe àìlélẹ̀,Ṣe àìníṣẹ́,Ṣe aláìsí,Ṣe àìnígbàgbọ́
338,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fakoyo""?",Ṣe dáradára,,Ṣe kánkán,Ṣe dáradára,Ṣe jẹ́jẹ́,Ṣe títọ́,Ṣe díẹ̀
339,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi oju oloore gungi""?",Aláìmoore,,Àìgbọ́ràn,Àìníyì,Aláìmoore,Àìlọ́gbọ́n,Àìlèṣe
340,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi imu danrin""?",Fìyà jẹ ènìyàn,,Fìyà jẹ ènìyàn,Fi ọwọ́ gbá ilẹ̀,Fi eyín gé irin,Fi ojú gbọ́ ọ̀rọ̀,Fi èékánná kó omi
341,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbonu""?",Jẹ iyàn(argue),,Sọ àwítẹ́lẹ̀,Kọ̀wé lẹ́tà,Ṣe ìwádìí,Sọ ìtàn,Jẹ iyàn(argue)
342,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Runparunse""?",Fi gbogbo agbára ṣe ǹkan,,Fi àṣọ wọ àṣọ,Fi ìwé kọ ìwé,Fi gbogbo agbára ṣe ǹkan,Fi ọjà tà ọjà,Fi igi gé igi
343,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Pa eniyan bi ejo aije""?",Lu ènìyàn ní ìlùkulù,,Ṣe ènìyàn bí òkúta,Fi ènìyàn sílẹ̀,Lu ènìyàn ní ìlùkulù,Ṣe ènìyàn bí ẹni tí a kò rí,Ṣe ènìyàn bí ẹni tí a kò gbọ́
344,"Kíni ""field"" ní Yorùbá?",Pápá,,Àgbàlá,Pápá,Ọjà,Òkè,Igbó
345,"Kíni ""Giraffe"" ní Yorùbá?",Àgùnfọn,,Àgùntàn,Àgbọ̀nrín,Àgùnfọn,Màlúù,Àparò
346,"Kíni ""Permanent voter's card"" ní Yorùbá?",Ìwé ìdìbò alálòpẹ́,,Ìwé Àṣẹ Ìdìbò Láláìpẹ́kun,Kààdì Ìdúróṣinṣin Ìdìbò,Ìwé Ìṣẹ̀dá Ìdìbò,Ìwé ìdìbò alálòpẹ́,Kààdì Ìfọwọ́sowọ́pọ̀ Ìdìbò
347,"Sàlàyé òwe yì: 
 Àjèsílẹ̀ gbèsè tí ò jẹ́ kí ẹ̀gbẹ̀fà tóó ná.","Tí ènìyàn báti jẹ gbèsè sílẹ̀, owó tí ẹni náà bá rí kò ní too ná títí dìgbà tó bá ti san gbèsè rẹ̀ tán",,"Tí ènìyàn báti jẹ gbèsè sílẹ̀, owó tí ẹni náà bá rí kò ní too ná títí dìgbà tó bá ti san gbèsè rẹ̀ tán","Ìṣòro owó tí a kò tíì yanjú, kò jẹ́ kí àlàáfíà ọkàn wà","Ìdààmú àìsí iṣẹ́, kò jẹ́ kí ìgbádùn ayé ṣeé ṣe","Ìjákulẹ̀ àwọn ètò, kò jẹ́ kí ìlọsíwájú wà","Ìwà ìbàjẹ́ àwọn ọmọ, kò jẹ́ kí ìdùnnú òbí wà"
348,"Parí òwe yìí:
 Èbìtì kò pa èèrà...",,,bí kò ṣe pé ó rìn ní ọ̀nà àìtọ́,bí kò ṣe pé ó wọ inú rẹ̀,bí kò ṣe pé ó ṣubú síbẹ̀,bí kò ṣe pé ó gbàgbé ọ̀nà rẹ̀,bí kò ṣe pé ó wá ìdí rẹ̀
349,Tí wọ́n bá sọ pé èèyàn wà 'bias' kí ló túmò sí?,Ojú-ìsájú,,ìtẹ́-ìdájọ́,Ojú-ìsájú,Èrò-àìtọ́,Ìfẹ́-ọ̀kan,Èrò-apákan
350,Oṣù wo ni à ń pè ní 'Bèlú'?,Oṣù kọ́kọ̀nlá,,Oṣù kẹ́fà,Oṣù kẹ́ta,Oṣù kọ́kọ̀nlá,Oṣù kẹ́jọ,Oṣù kẹ́wàá
351,Kí ni orúkọ tí a ń fún ọmọbìnrin tí a bí tí ó gbé òlùbí kòrùn?,Àìná,,Ìdòwú,Ọlá,Bọ́lá,Àìná,Adé
352,Fi àmín sí orọ̀ yìí “Akanlo ede”,Àkànlò èdè,,Àkànlọ́ èdè,Àkànlò èdè,Akànlò édè,Àkànlò èdé,Akànlọ́ èdè
353,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Figagbaga""?",Ìdíje,,Ìgbésẹ̀ àìtọ́,Èrò àìlẹ́sẹ̀nílẹ̀,Ìdíje,Ọ̀rọ̀ àìníìdí,Ìwà àìtó
354,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Erinwo""?",Ṣe aláìsí,,Ṣe aláìsí,Ṣe àìsàn,Ṣe àwàrí,Ṣe àríyànjiyàn,Ṣe àṣeyọrí
355,"Kíni ""Advertisement"" ní Yorùbá?",Ìpolówó,,Ìfihàn,Ìpolówó,Ìkéde,Ìtàn,Ìtàn Ìfihàn
356,Why do they say 'dágunrò' is inedible'?,Dágunró ní ègún,,Dágunrò ní oró,Dágunrò ní iyọ̀,Dágunró ní ègún,Dágunrò ní àpá,Dágunrò ní ìyèpè
357,Orúkọ wo ni wọ́n fún ọmọ tí a bí tí kò ke?,Òní,,Ìdòwú,Àkànní,Ṣọlá,Òní,Fẹ́mi
358,"If potters are called 'amọ̀kòkò, calabash designers are called what?",Afíngbá,,Agbẹ́igbá,Aṣẹ́igbá,Afíngbá,,
359,"Deji ni oba ilu akure, kini won n pe, oba ilu ijebu",Àwùjalẹ̀,,Aláké,Àwùjalẹ̀,Ọ̀ọ̀nì,Ọ̀bà,Èwí
360,"Kíni ""Duplicate"" ní Yorùbá?",Ẹ̀dà,,Ìtàn,Àyípadà,Ẹ̀kọ́,Ẹ̀sùn,Ẹ̀dà
361,"Kíni ""Earth worm"" ní Yorùbá?",Ekòló,,Ajá,Ìròyìn,Ekòló,Ìdin,Lápálápá
362,"Kíni ""Scissors"" ní Yorùbá?",àlùmógàjì,,Ìgò,àlùmógàjì,Èdè,Ọ̀bẹ,Dàgà
363,"Kíni ""Brewery"" ní Yorùbá?",Ilé-iṣẹ́ ìpo-ọtí,,Ilé ìtajà,Gbàgede ọtí,Ilé-iṣẹ́ ìpo-ọtí,Ọjà,Ilé ìwé
364,"Kíni ""Cricket"" ní Yorùbá?",Ìrẹ̀,,Èṣíṣí,Lápálápá,Ìrẹ̀,Alàǹgbá,Èèrà
365,"Kíni ""Ram"" ní Yorùbá?",Àgbò,,Òbúkọ,Ẹlẹ́dẹ̀,Àgbò,Kẹ́tẹ́kẹ́tẹ́,Ẹṣin
366,"""Parí òwe yìí:
 Èbì tí kò pa èèrà""","Èbìtì ò pa èèrà, ará ilé ẹni níí ṣe ni",,"Èbìtì ò pa èèrà, ará ilé ẹni níí ṣe ni",Kò lè pa ejò,Kò ṣe pàtàkì,Bí afẹ́fẹ́ ni,Kò dùn rárá
367,"Kini itumo owe yi:
 Ènì tó ma ń tẹ òkú òpòló, yí ò ní ilé Ogbóni tirẹ̀ lọ́tọ̀",,,Ẹni tó bá ṣiṣẹ́ yóò jẹun,Má fi ọwọ́ òsì júwe ilé baba rẹ,Ìwà ìbàjẹ́ kò dáa,Àìbọ̀wọ̀ fún àgbà,Ìgbéraga ni síwájú ìparun
368,"""Parí òwe yìí:
 Eni ti ko mo ise je...",,,yóò mu omi tútù,ni yóò fi gbèsè ra bàtà wọ̀,kò lè ṣàkóso owó,yóò máa tọrọ jẹ,yóò jìyà ìyàn
369,"""Parí òwe yìí:
 Sekeseke dara...",Ṣùgbón alágbẹ̀dẹ ò rọ́ fún ọmọ rẹ̀,,ṣùgbọ́n owó ni,Ṣùgbón alágbẹ̀dẹ ò rọ́ fún ọmọ rẹ̀,ṣùgbọ́n kì í tó ọrùn,.jù wúrà lọ,kò sí fún tálákà
370,Awon wo ni won maa n pe ni Ajayi,Ọmọ tí a bí tó dojúbolẹ̀,,Ìgè,Babátúndé,Kẹ́hìndé,Ọmọ tí a bí tó dojúbolẹ̀,Yétúndé
372,"Kíni ""Buffalo"" ní Yorùbá?",Efọ̀n,,Erin,Efọ̀n,Kìnnìún,Àmọ̀tẹ́kùn,Ràkunmí
373,"Kíni ""Scorpion"" ní Yorùbá?",àkekèé,,àkekèé,Oyin,Labalábá,Kòkòrò,Ìdin
374,"Kíni ""Bracelet"" ní Yorùbá?",Ẹ̀gbà-owo,,Òrùka,Owó,Aṣọ,Ẹ̀gbà-owo,Ìlẹ̀kẹ̀
375,"Kíni ""Description"" ní Yorùbá?",Àpèjúwe,,Ìtumọ̀,Àlàyé,Àpèjúwe,Àfihàn,Ìròyìn
376,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""gbin èpà sí oko ikún""?",Ṣíṣe àṣedànù,,Gbígbìn ohun ọ̀gbìn,Ṣiṣẹ́ àṣekára,Fífún ẹranko jẹ,Kíkó èso,Ṣíṣe àṣedànù
378,"""Parí òwe yìí:
 Ore n jore...","Ọrà ń jọ́rà, a kìí dúpé mo tọ̀pọ̀",,a máa rántí ara ẹni,"Ọrà ń jọ́rà, a kìí dúpé mo tọ̀pọ̀",kò yẹ kó di ọ̀tá,nígbà ìṣòro,tí owó bá wà
379,"""Kini itumo owe yi:
 A kii je okele lori okele, a kii fina sori orule sun""","Kí ènìyàn ṣe ohungbogbo ní ìwọ̀ntúnwọ̀nsì, nítorí tí a kò bá ṣe béè, ó lè fa ìjàm̀bá",,Má jẹ àjẹjù,Má fi iná ṣeré,Ká fi ọgbọ́n ṣe nǹkan,Ká bọ̀wọ̀ fún oúnjẹ,"Kí ènìyàn ṣe ohungbogbo ní ìwọ̀ntúnwọ̀nsì, nítorí tí a kò bá ṣe béè, ó lè fa ìjàm̀bá"
381,"Kíni ""66 thousand naira"" ní Yorùbá?",Ẹgbẹ̀rùn lọ́nà mérìndínláàdórin náírà,,Ẹgbẹ̀rún mẹ́fà náírà,Ẹgbẹ̀rùn lọ́nà mérìndínláàdórin náírà,Ẹgbẹ̀rún lọ́nà ọgọ́ta náírà,Ọ̀kẹ́ mẹ́ta àti ẹgbààwá náírà,Ẹgbẹ̀rún lọ́nà ọgọ́rin náírà
382,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""farasoko""?",Sápamó,,Sáré,Fẹ̀yìn tì,Ṣiṣẹ́ oko,Sápamó,Wà nítòsí
383,"Parí òwe yìí.
 Ènì yá ẹ̀gbẹ̀fà tí ò san",Ó bégi dínà egbèje,,yóò san án pẹ̀lú èlé,kò ní rí ẹlòmíràn yá,Ó bégi dínà egbèje,àwọn ènìyàn yóò sá fún un,yóò pàdánù ọ̀rẹ́ rẹ̀
384,"Kíni ""Wolf"" ní Yorùbá?",Ìkokò,,Ajá,Ìkokò,Kìnnìún,Efọ̀n,Kọ̀lọ̀kọ̀lọ̀
385,"Kíni ""Investment"" ní Yorùbá?",Ìdókòwò,,Owó,Ìdókòwò,Ìṣòwò,Ìfowópamọ́,Ilé ìtajà
386,"Kíni ""Trade fair"" ní Yorùbá?",Ìpàtẹ Ìdókòwò,,Ilé ìtajà,Àpéjọ,Ìpàtẹ Ìdókòwò,Gbàgede,Pápá
387,"Kíni ""Calculator"" ní Yorùbá?",Ẹ̀rọ ìṣírò,,Ẹ̀rọ ìwé,Kọ̀mpútà,Wákàtí,Ẹ̀rọ ìṣírò,Fóònù
388,"Kíni ""Internet banking"" ní Yorùbá?",Ìfowópamọ́ orí ayélujára,,Ilé ìfowópamọ́,Ayélujára,Ìfiránṣẹ́ owó,Owó orí ẹ̀rọ,Ìfowópamọ́ orí ayélujára
389,"Kíni ""Rainbow"" ní Yorùbá?",Òṣùmàrè,,Òṣùmàrè,Òjò,Òòrùn,Òṣùpá,Afẹ́fẹ́
390,"Pari owe yi:
 Bí oníṣé bá ń jèrè iṣẹ..",Ọ̀lẹ á máa jèrè ìmẹ́lẹ́,,yóò ṣe púpọ̀ síi,.owó rẹ̀ á pọ̀ síi,Ọ̀lẹ á máa jèrè ìmẹ́lẹ́,àwọn ọ̀lẹ á máa wò ó,kò gbọ́dọ̀ gbàgbé ọ̀la
391,"Kíni ""Blade"" ní Yorùbá?",Abẹfẹ́lẹ́,,Àáké,Ọ̀bẹ,Abẹfẹ́lẹ́,Àlùmógàjì,Irin
392,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eku Itadi""?",Kí ènìyàn só,,Kí ènìyàn só,Eku inú ilé,Wíwá nǹkan kiri,Pípéjọ síbì kan,
393,"Kíni ""Royal Bead Makers"" ní Yorùbá?",Asíndẹmádé,,Aláàfin,Asíndẹmádé,Onílẹ̀kẹ̀,Alágbẹ̀dẹ,Ayaba
394,"Kíni ""Graduation"" ní Yorùbá?",Ikékòógboyè,,Ayẹyẹ,Ìwé ẹrí,Gbígba oyè,Ikékòógboyè,Àṣeyọrí
395,"Kíni ""Chimpanzee"" ní Yorùbá?",Ìjímèrè,,Ọ̀bọ,Erin,Ìjímèrè,Kìnnìún,Àmọ̀tẹ́kùn
396,"Kíni ""500 thousand"" ní Yorùbá?",Ẹgbẹ̀rún lọ́nà ẹ̀ẹ́dẹ́gbẹ̀ta,,Ẹgbẹ̀rún lọ́nà ẹ̀ẹ́dẹ́gbẹ̀ta,Ẹgbẹ̀rún márùn-ún,Ẹgbẹ̀rún lọ́nà àádọ́ta,Mílíọ̀nù kan,Ẹgbẹ̀rún lọ́nà ọgọ́rùn-ún
397,"Kíni ""Camping"" ní Yorùbá?",Ìpàgọ́,,Ìpàgọ́,Ìrìn àjò,Sísùn síta,Àgọ́,Pápá
398,"Kíni ""Bargain"" ní Yorùbá?",Ìdúnádúrà,,Títà,Rírà,Owó,Ìdúnádúrà,Ọjà títà
399,"Kíni ""Translator"" ní Yorùbá?",Ògbufọ̀,,Olùkọ́,Afọ̀rọ̀wérọ̀,Oníròyìn,Amòye,Ògbufọ̀
400,"Kíni ""Trap"" ní Yorùbá?",Èbìtì,,Okùn,Pàkúté,Èbìtì,Ẹ̀tàn,Irinṣẹ́
401,"Kíni ""700"" ní Yorùbá?",Ẹ̀ẹ́dẹ́gbẹ̀rin,,Ẹgbẹ̀rún,Ogórùn-ún,Aádọ́rin,Ẹgbàá,Ẹ̀ẹ́dẹ́gbẹ̀rin
402,"Kínì ìtumọ̀ àkànlò-èdè yìí? 
 A ń sájú ẹlẹẹdẹdé pẹẹdé",A máa fí ń sọfún ènìyàn tí ó ń bẹ́,,A ń fẹ́ pa ẹlẹ́dẹ̀ jẹ,A máa fí ń sọfún ènìyàn tí ó ń bẹ́,,Ẹlẹ́dẹ̀ náà ń sáré,Ó túmọ̀ sí ìjàmbá
403,Dárúkọ tí Yorùbá n pe àwọn ìka ọwọ wa márààrún,"Kúrúmbète, òrùka yémí, óga juwónlọ, odùnńlábẹ̀, àtànpàkò.",,,,,,
404,"Parí òwe Yorùbá yìí
 Sin mí ká re ilé àna o wọ ẹwù etù …,",kíni kí ọkọ ìyàwó wọ̀,,kí ọmọdé má fi ṣeré,àna kò gbọdọ̀ rí i,kíni kí ọkọ ìyàwó wọ̀,ó ti gbó tán,kí á le jọ jó
405,"Kíni ""deer"" ní Yorùbá?",Àgbọ̀nrín,,Eṣin,Àgbọ̀nrín,Ewúrẹ́,Málùú,Kẹ́tẹ́kẹ́tẹ́
406,"Kíni ""fountain"" ní Yorùbá?",Orísun,,Odò,Orísun,Adágún odò,Òkun,Agbada omi
407,"Kíni ""fine"" ní Yorùbá?",Owó ìtánràn,,Ó dára,Owó ìtánràn,Owó,Ìdájọ́,Ẹ̀ṣẹ̀
408,"Eré Orí igi àşekù ọmọ ẹdun, kíní yorùbá n pè ní 'ẹdun'?",Ọ̀bọ,,Òkúta,Adìẹ,Ọ̀bọ,Èso,Akẹ́kọ̀ọ́
