S/N,Question,Answer,Unnamed: 3,option_1,option_2,option_3,option_4,option_5
321,Kíni ìtumọ̀ ọ̀rò yìí 'ìwọfà'?,option_2,,Àlejò,Ẹrú,Àgbẹ̀,Ọ̀ṣìṣẹ́,Ìránṣẹ́
322,Kíni 'àdìrò' túmò sí?,option_4,,Orí ibi tí a ti máa ń gbàdúrà.,Orí ibi tí a ti máa ń sùn,Orí ibi tí a ti máa ń kọrin,Orí ibi tí a ti máa ń dáná,Orí ibi tí a ti máa ń rà ọjà
323,Kíni 'ídán' túmò sí ní èdè Yorùbá?,option_2,,Ẹ̀wà,Ohun tí a ṣe tí ó ṣe ènìyàn ní kàyéfì,Ohun tí a ṣe tí ó mú kí ènìyàn bínú,Ohun tí a ṣe tí ó mú kí ènìyàn ṣàìsàn,Ohun tí a ṣe tí ó mú kí ènìyàn gbàgbé
324,Kíni ìgìrìpá/gìrìpá túmò sí? Njẹ́ o le ṣàlàyé?,option_2,,Àwọn tó rọ̀,Àwọn tó ga,Àwọn tó gbóná,Àwọn tó tutù,Àwọn tó yára
325,"Kíni ""Crab"" ní Yorùbá?",option_3,,Àgbákò,Ìṣù,Akàn,Ẹ̀fó,Àgbà
326,Kíni à ń pè ní 'òtítà'?,option_4,,Àgọ̀,Àṣọ,Àdá,Àpótí,Àtọ̀
327,"Kíni ""pig"" ní Yorùbá?",option_2,,Àgùntàn,Ẹlẹ́dẹ̀,Ọ̀bo,Ẹranko,Àgbọ̀nrín
328,"Kíni ""pot"" ní Yorùbá?",option_1,,Ìkòkò ìdáná,Àpótí,Ìgò,Àwo,Agbọ̀n
329,"Kíni ""fox"" ní Yorùbá?",option_3,,Ìjàpá,Ẹkùn,Kọ̀lọ̀kọ̀lọ̀(Ajá igbo),Àgùntàn,Àdán
330,"Kíni ""sheep"" ní Yorùbá?",option_3,,Àgbọ̀nrín,Àgùnfọn,Àgùntàn,Kọ̀lọ̀kọ̀lọ̀,Àgádágodo
331,"Kíni ""House of representatives"" ní Yorùbá?",option_5,,Àpéjọ Àwọn Ọ̀gá,Àwọn Ọ̀gá Ìlànà Ìjọba,Àjọ Àwọn Alágbà,Àwọn Ẹni Ìṣèjọba,Ilé ìgbìmọ aṣójúṣòfin
333,"Sàlàyé òwe yì: 
 Ènì rúbọ òrìṣà á gbọ́dọ̀ rú ti èèyàn kí ẹbọ ó tó gbà",option_1,,Irú ẹni bẹ́ẹ̀ gbúdọ̀ tẹ́ àwọn ènìyàn ní àyíká rẹ̀ lọ́rùn,Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa pín oúnjẹ àwọn ènìyàn tó wà ní ìlú,"""Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ jẹ́ kí àwọn ènìyàn máa ṣe ìpinnu fún un","""Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa gbọ́ ọ̀rọ̀ àwọn ènìyàn láìsí àríyànjiyàn","Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa ṣe ohun tí àwọn ènìyàn fẹ́, láìka ohun tó wù ú"
334,"Parí òwe yìí:
 'Àjọ kìí dùn...'",option_3,,bí kò bá sí oúnjẹ,láìsí ìṣòro,Kódídẹ́ má rèwò,láìsí ọ̀rọ̀,títí gbogbo ènìyàn yóò fi dé
335,"Parí òwe yìí:
 Ènì tí yóò mu ẹkọ́ fòró..",,,yóò fi ọwọ́ gbà á,yóò gbàgbé ìyọ̀,yóò sùn lórí ilẹ̀,yóò fi epo ṣè é,yóò fi òkúta gún un
336,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Feraku""?",option_5,,Àìsàn,bínú,Òtútù,bẹ̀rù,Lóyún
337,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Terigbaso""?",option_4,,Ṣe àìnírètí,Ṣe àìlélẹ̀,Ṣe àìníṣẹ́,Ṣe aláìsí,Ṣe àìnígbàgbọ́
338,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fakoyo""?",option_2,,Ṣe kánkán,Ṣe dáradára,Ṣe jẹ́jẹ́,Ṣe títọ́,Ṣe díẹ̀
339,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi oju oloore gungi""?",option_3,,Àìgbọ́ràn,Àìníyì,Aláìmoore,Àìlọ́gbọ́n,Àìlèṣe
340,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi imu danrin""?",option_1,,Fìyà jẹ ènìyàn,Fi ọwọ́ gbá ilẹ̀,Fi eyín gé irin,Fi ojú gbọ́ ọ̀rọ̀,Fi èékánná kó omi
341,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbonu""?",option_5,,Sọ àwítẹ́lẹ̀,Kọ̀wé lẹ́tà,Ṣe ìwádìí,Sọ ìtàn,Jẹ iyàn(argue)
342,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Runparunse""?",option_3,,Fi àṣọ wọ àṣọ,Fi ìwé kọ ìwé,Fi gbogbo agbára ṣe ǹkan,Fi ọjà tà ọjà,Fi igi gé igi
343,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Pa eniyan bi ejo aije""?",option_3,,Ṣe ènìyàn bí òkúta,Fi ènìyàn sílẹ̀,Lu ènìyàn ní ìlùkulù,Ṣe ènìyàn bí ẹni tí a kò rí,Ṣe ènìyàn bí ẹni tí a kò gbọ́
344,"Kíni ""field"" ní Yorùbá?",option_2,,Àgbàlá,Pápá,Ọjà,Òkè,Igbó
345,"Kíni ""Giraffe"" ní Yorùbá?",option_3,,Àgùntàn,Àgbọ̀nrín,Àgùnfọn,Màlúù,Àparò
346,"Kíni ""Permanent voter's card"" ní Yorùbá?",option_4,,Ìwé Àṣẹ Ìdìbò Láláìpẹ́kun,Kààdì Ìdúróṣinṣin Ìdìbò,Ìwé Ìṣẹ̀dá Ìdìbò,Ìwé ìdìbò alálòpẹ́,Kààdì Ìfọwọ́sowọ́pọ̀ Ìdìbò
347,"Sàlàyé òwe yì: 
 Àjèsílẹ̀ gbèsè tí ò jẹ́ kí ẹ̀gbẹ̀fà tóó ná.",option_1,,"Tí ènìyàn báti jẹ gbèsè sílẹ̀, owó tí ẹni náà bá rí kò ní too ná títí dìgbà tó bá ti san gbèsè rẹ̀ tán","Ìṣòro owó tí a kò tíì yanjú, kò jẹ́ kí àlàáfíà ọkàn wà","Ìdààmú àìsí iṣẹ́, kò jẹ́ kí ìgbádùn ayé ṣeé ṣe","Ìjákulẹ̀ àwọn ètò, kò jẹ́ kí ìlọsíwájú wà","Ìwà ìbàjẹ́ àwọn ọmọ, kò jẹ́ kí ìdùnnú òbí wà"
348,"Parí òwe yìí:
 Èbìtì kò pa èèrà...",,,bí kò ṣe pé ó rìn ní ọ̀nà àìtọ́,bí kò ṣe pé ó wọ inú rẹ̀,bí kò ṣe pé ó ṣubú síbẹ̀,bí kò ṣe pé ó gbàgbé ọ̀nà rẹ̀,bí kò ṣe pé ó wá ìdí rẹ̀
349,Tí wọ́n bá sọ pé èèyàn wà 'bias' kí ló túmò sí?,option_2,,ìtẹ́-ìdájọ́,Ojú-ìsájú,Èrò-àìtọ́,Ìfẹ́-ọ̀kan,Èrò-apákan
350,Oṣù wo ni à ń pè ní 'Bèlú'?,option_3,,Oṣù kẹ́fà,Oṣù kẹ́ta,Oṣù kọ́kọ̀nlá,Oṣù kẹ́jọ,Oṣù kẹ́wàá
351,Kí ni orúkọ tí a ń fún ọmọbìnrin tí a bí tí ó gbé òlùbí kòrùn?,option_4,,Ìdòwú,Ọlá,Bọ́lá,Àìná,Adé
352,Fi àmín sí orọ̀ yìí “Akanlo ede”,option_2,,Àkànlọ́ èdè,Àkànlò èdè,Akànlò édè,Àkànlò èdé,Akànlọ́ èdè
353,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Figagbaga""?",option_3,,Ìgbésẹ̀ àìtọ́,Èrò àìlẹ́sẹ̀nílẹ̀,Ìdíje,Ọ̀rọ̀ àìníìdí,Ìwà àìtó
354,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Erinwo""?",option_1,,Ṣe aláìsí,Ṣe àìsàn,Ṣe àwàrí,Ṣe àríyànjiyàn,Ṣe àṣeyọrí
355,"Kíni ""Advertisement"" ní Yorùbá?",option_2,,Ìfihàn,Ìpolówó,Ìkéde,Ìtàn,Ìtàn Ìfihàn
356,Why do they say 'dágunrò' is inedible'?,option_3,,Dágunrò ní oró,Dágunrò ní iyọ̀,Dágunró ní ègún,Dágunrò ní àpá,Dágunrò ní ìyèpè
357,Orúkọ wo ni wọ́n fún ọmọ tí a bí tí kò ke?,option_4,,Ìdòwú,Àkànní,Ṣọlá,Òní,Fẹ́mi
358,"If potters are called 'amọ̀kòkò, calabash designers are called what?",option_3,,Agbẹ́igbá,Aṣẹ́igbá,Afíngbá,,
359,"Deji ni oba ilu akure, kini won n pe, oba ilu ijebu",option_2,,Aláké,Àwùjalẹ̀,Ọ̀ọ̀nì,Ọ̀bà,Èwí
360,"Kíni ""Duplicate"" ní Yorùbá?",option_5,,Ìtàn,Àyípadà,Ẹ̀kọ́,Ẹ̀sùn,Ẹ̀dà
361,"Kíni ""Earth worm"" ní Yorùbá?",option_3,,Ajá,Ìròyìn,Ekòló,Ìdin,Lápálápá
362,"Kíni ""Scissors"" ní Yorùbá?",option_2,,Ìgò,àlùmógàjì,Èdè,Ọ̀bẹ,Dàgà
363,"Kíni ""Brewery"" ní Yorùbá?",option_3,,Ilé ìtajà,Gbàgede ọtí,Ilé-iṣẹ́ ìpo-ọtí,Ọjà,Ilé ìwé
364,"Kíni ""Cricket"" ní Yorùbá?",option_3,,Èṣíṣí,Lápálápá,Ìrẹ̀,Alàǹgbá,Èèrà
365,"Kíni ""Ram"" ní Yorùbá?",option_3,,Òbúkọ,Ẹlẹ́dẹ̀,Àgbò,Kẹ́tẹ́kẹ́tẹ́,Ẹṣin
366,"""Parí òwe yìí:
 Èbì tí kò pa èèrà""",option_1,,"Èbìtì ò pa èèrà, ará ilé ẹni níí ṣe ni",Kò lè pa ejò,Kò ṣe pàtàkì,Bí afẹ́fẹ́ ni,Kò dùn rárá
367,"Kini itumo owe yi:
 Ènì tó ma ń tẹ òkú òpòló, yí ò ní ilé Ogbóni tirẹ̀ lọ́tọ̀",,,Ẹni tó bá ṣiṣẹ́ yóò jẹun,Má fi ọwọ́ òsì júwe ilé baba rẹ,Ìwà ìbàjẹ́ kò dáa,Àìbọ̀wọ̀ fún àgbà,Ìgbéraga ni síwájú ìparun
368,"""Parí òwe yìí:
 Eni ti ko mo ise je...",,,yóò mu omi tútù,ni yóò fi gbèsè ra bàtà wọ̀,kò lè ṣàkóso owó,yóò máa tọrọ jẹ,yóò jìyà ìyàn
369,"""Parí òwe yìí:
 Sekeseke dara...",option_2,,ṣùgbọ́n owó ni,Ṣùgbón alágbẹ̀dẹ ò rọ́ fún ọmọ rẹ̀,ṣùgbọ́n kì í tó ọrùn,.jù wúrà lọ,kò sí fún tálákà
370,Awon wo ni won maa n pe ni Ajayi,option_4,,Ìgè,Babátúndé,Kẹ́hìndé,Ọmọ tí a bí tó dojúbolẹ̀,Yétúndé
372,"Kíni ""Buffalo"" ní Yorùbá?",option_2,,Erin,Efọ̀n,Kìnnìún,Àmọ̀tẹ́kùn,Ràkunmí
373,"Kíni ""Scorpion"" ní Yorùbá?",option_1,,àkekèé,Oyin,Labalábá,Kòkòrò,Ìdin
374,"Kíni ""Bracelet"" ní Yorùbá?",option_4,,Òrùka,Owó,Aṣọ,Ẹ̀gbà-owo,Ìlẹ̀kẹ̀
375,"Kíni ""Description"" ní Yorùbá?",option_3,,Ìtumọ̀,Àlàyé,Àpèjúwe,Àfihàn,Ìròyìn
376,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""gbin èpà sí oko ikún""?",option_5,,Gbígbìn ohun ọ̀gbìn,Ṣiṣẹ́ àṣekára,Fífún ẹranko jẹ,Kíkó èso,Ṣíṣe àṣedànù
378,"""Parí òwe yìí:
 Ore n jore...",option_2,,a máa rántí ara ẹni,"Ọrà ń jọ́rà, a kìí dúpé mo tọ̀pọ̀",kò yẹ kó di ọ̀tá,nígbà ìṣòro,tí owó bá wà
379,"""Kini itumo owe yi:
 A kii je okele lori okele, a kii fina sori orule sun""",option_5,,Má jẹ àjẹjù,Má fi iná ṣeré,Ká fi ọgbọ́n ṣe nǹkan,Ká bọ̀wọ̀ fún oúnjẹ,"Kí ènìyàn ṣe ohungbogbo ní ìwọ̀ntúnwọ̀nsì, nítorí tí a kò bá ṣe béè, ó lè fa ìjàm̀bá"
381,"Kíni ""66 thousand naira"" ní Yorùbá?",option_2,,Ẹgbẹ̀rún mẹ́fà náírà,Ẹgbẹ̀rùn lọ́nà mérìndínláàdórin náírà,Ẹgbẹ̀rún lọ́nà ọgọ́ta náírà,Ọ̀kẹ́ mẹ́ta àti ẹgbààwá náírà,Ẹgbẹ̀rún lọ́nà ọgọ́rin náírà
382,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""farasoko""?",option_4,,Sáré,Fẹ̀yìn tì,Ṣiṣẹ́ oko,Sápamó,Wà nítòsí
383,"Parí òwe yìí.
 Ènì yá ẹ̀gbẹ̀fà tí ò san",option_3,,yóò san án pẹ̀lú èlé,kò ní rí ẹlòmíràn yá,Ó bégi dínà egbèje,àwọn ènìyàn yóò sá fún un,yóò pàdánù ọ̀rẹ́ rẹ̀
384,"Kíni ""Wolf"" ní Yorùbá?",option_2,,Ajá,Ìkokò,Kìnnìún,Efọ̀n,Kọ̀lọ̀kọ̀lọ̀
385,"Kíni ""Investment"" ní Yorùbá?",option_2,,Owó,Ìdókòwò,Ìṣòwò,Ìfowópamọ́,Ilé ìtajà
386,"Kíni ""Trade fair"" ní Yorùbá?",option_3,,Ilé ìtajà,Àpéjọ,Ìpàtẹ Ìdókòwò,Gbàgede,Pápá
387,"Kíni ""Calculator"" ní Yorùbá?",option_4,,Ẹ̀rọ ìwé,Kọ̀mpútà,Wákàtí,Ẹ̀rọ ìṣírò,Fóònù
388,"Kíni ""Internet banking"" ní Yorùbá?",option_5,,Ilé ìfowópamọ́,Ayélujára,Ìfiránṣẹ́ owó,Owó orí ẹ̀rọ,Ìfowópamọ́ orí ayélujára
389,"Kíni ""Rainbow"" ní Yorùbá?",option_1,,Òṣùmàrè,Òjò,Òòrùn,Òṣùpá,Afẹ́fẹ́
390,"Pari owe yi:
 Bí oníṣé bá ń jèrè iṣẹ..",option_3,,yóò ṣe púpọ̀ síi,.owó rẹ̀ á pọ̀ síi,Ọ̀lẹ á máa jèrè ìmẹ́lẹ́,àwọn ọ̀lẹ á máa wò ó,kò gbọ́dọ̀ gbàgbé ọ̀la
391,"Kíni ""Blade"" ní Yorùbá?",option_3,,Àáké,Ọ̀bẹ,Abẹfẹ́lẹ́,Àlùmógàjì,Irin
392,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eku Itadi""?",option_1,,Kí ènìyàn só,Eku inú ilé,Wíwá nǹkan kiri,Pípéjọ síbì kan,
393,"Kíni ""Royal Bead Makers"" ní Yorùbá?",option_2,,Aláàfin,Asíndẹmádé,Onílẹ̀kẹ̀,Alágbẹ̀dẹ,Ayaba
394,"Kíni ""Graduation"" ní Yorùbá?",option_4,,Ayẹyẹ,Ìwé ẹrí,Gbígba oyè,Ikékòógboyè,Àṣeyọrí
395,"Kíni ""Chimpanzee"" ní Yorùbá?",option_3,,Ọ̀bọ,Erin,Ìjímèrè,Kìnnìún,Àmọ̀tẹ́kùn
396,"Kíni ""500 thousand"" ní Yorùbá?",Ẹgbẹ̀rún lọ́nà ẹ̀ẹ́dẹ́gbẹ̀ta,,Ẹgbẹ̀rún lọ́nà ẹ̀ẹ́dẹ́gbẹ̀ta,Ẹgbẹ̀rún márùn-ún,Ẹgbẹ̀rún lọ́nà àádọ́ta,Mílíọ̀nù kan,Ẹgbẹ̀rún lọ́nà ọgọ́rùn-ún
397,"Kíni ""Camping"" ní Yorùbá?",option_1,,Ìpàgọ́,Ìrìn àjò,Sísùn síta,Àgọ́,Pápá
398,"Kíni ""Bargain"" ní Yorùbá?",option_4,,Títà,Rírà,Owó,Ìdúnádúrà,Ọjà títà
399,"Kíni ""Translator"" ní Yorùbá?",option_5,,Olùkọ́,Afọ̀rọ̀wérọ̀,Oníròyìn,Amòye,Ògbufọ̀
400,"Kíni ""Trap"" ní Yorùbá?",option_3,,Okùn,Pàkúté,Èbìtì,Ẹ̀tàn,Irinṣẹ́
401,"Kíni ""700"" ní Yorùbá?",option_5,,Ẹgbẹ̀rún,Ogórùn-ún,Aádọ́rin,Ẹgbàá,Ẹ̀ẹ́dẹ́gbẹ̀rin
402,"Kínì ìtumọ̀ àkànlò-èdè yìí? 
 A ń sájú ẹlẹẹdẹdé pẹẹdé",option_2,,A ń fẹ́ pa ẹlẹ́dẹ̀ jẹ,A máa fí ń sọfún ènìyàn tí ó ń bẹ́,,Ẹlẹ́dẹ̀ náà ń sáré,Ó túmọ̀ sí ìjàmbá
403,Dárúkọ tí Yorùbá n pe àwọn ìka ọwọ wa márààrún,"Kúrúmbète, òrùka yémí, óga juwónlọ, odùnńlábẹ̀, àtànpàkò.",,,,,,
404,"Parí òwe Yorùbá yìí
 Sin mí ká re ilé àna o wọ ẹwù etù …,",option_3,,kí ọmọdé má fi ṣeré,àna kò gbọdọ̀ rí i,kíni kí ọkọ ìyàwó wọ̀,ó ti gbó tán,kí á le jọ jó
405,"Kíni ""deer"" ní Yorùbá?",option_2,,Eṣin,Àgbọ̀nrín,Ewúrẹ́,Málùú,Kẹ́tẹ́kẹ́tẹ́
406,"Kíni ""fountain"" ní Yorùbá?",option_2,,Odò,Orísun,Adágún odò,Òkun,Agbada omi
407,"Kíni ""fine"" ní Yorùbá?",option_2,,Ó dára,Owó ìtánràn,Owó,Ìdájọ́,Ẹ̀ṣẹ̀
408,"Eré Orí igi àşekù ọmọ ẹdun, kíní yorùbá n pè ní 'ẹdun'?",option_3,,Òkúta,Adìẹ,Ọ̀bọ,Èso,Akẹ́kọ̀ọ́
409,"Yorùbá bò wọ́n ní… Pánsá ò funra pánsá já, àjà ò funra àjà jìn… kí ní pánsá?","Pánsá (attics)
ààyè kan nínú òrùlé ilé kan",,Orúkọ èso kan,Àdúrà,ààyè kan nínú òrùlé ilé kan,Oúnjẹ kan,Irúfẹ́ ijó kan
411,"Kíni ""93"" ní Yorùbá?",Mẹ́tàléláàdọ́rún,,Mẹ́ta,Mẹ́sàn-án,Aádọ́rùn-ún,Mẹ́tàlélógún,Ọgọ́rùn-ún
412,Kíni Yorùbá n pe border?,option_2,,Agbára,Àlà,Ògiri,Ọ̀nà,Ibodè
413,"Kíni ""favorite"" ní Yorùbá?",option_3,,Ọ̀rẹ́,Ìránṣẹ́,Ààyò,Ọmọ,
414,"""Pari owe yi:
 Ohun tí ajá rí tí ó ń gbó…""",option_5,,ológbò náà ti rí i,ó lè jẹ́ ènìyàn,olówó rẹ̀ gbọ́dọ̀ mọ̀,ó ń dẹ́rù ba ọmọdé,kò tó èyí tí àgùtàn fi ń ṣe ìran wò
415,"Parí òwe Yorùbá yìí
 ògèdè dúdú kò sè bùṣọn…",option_3,,.ó ti pọ́n gan-an n,ṣùgbọ́n ó dùn jẹ,Ọmọ burúkú ò ṣe lù pa,a lè fi ṣe oúnjẹ míì,.kí a gbé e fún ọmọdé
416,"Parí òwe Yorùbá yìí
 Enu ai menu, ete ai mete...",option_4,,.kò le sọ̀rọ̀ dáadáa,ó ń fi wá oúnjẹ,ṣùgbọ́n olóhùn ní í lò ó,níí mú ọ̀ràn bá ẹ̀rẹ̀kẹ́,ni Yorùbá fi ń gbọ́n
417,"Kini ọ̀rọ̀ Yorùbá fun ""Comb"" tí ó wà lórí akùkọ adìyẹ",option_1,,Igbe,Ìmú,Ìyẹ́,Gaga,Ojú
418,"Kíni ""Certificate"" ní Yorùbá?",option_2,,Ìwé,Ìwé ẹ̀rí,Ìwé ìròyìn,Àkọsílẹ̀,Ìwé ìdánwò
419,"Kíni ""web"" ní Yorùbá?",option_3,,Okùn,Ojú,Ìtàkùn,Ìkànnì ayélujára,Gbòǹgbò igi
420,Yàtọ̀ sí ayékòótò kíni Yorùbá tún má ń pe 'parrot'?,option_2,,Àparò,Odídẹrẹ́,Òkín,Àkàlàmàgbò,Adìẹ
421,"Kíni ""ditch"" ní Yorùbá?",option_4,,Omi,Ilẹ̀,Òkè,Kòtò,Pẹ̀tẹ́lẹ̀
422,Tani ọba àkọ́kọ́ tí a kọ́kọ́ kì ní kábíyèsí ní ilè Yorùbá,option_2,,Odùduwà,Aláàfin Sàngó,Ọ̀rànmíyàn,Oòni ti Ilé-Ifẹ̀,Alákétu ti Kétu
423,Àwọn wo ni Yorùbá ń pè ní 'màjẹsín,option_5,,Àwọn obìnrin,Àwọn ọlọ́rọ̀,Àwọn ọkùnrin,Àwọn àgbàlagbà,Àwọn ọmọdé
424,"Kíni ""South-West"" ní Yorùbá?",option_2,,Gúúsù,Gúúsù-Ìwọ-oòrùn,Ìlà-oòrùn,Àríwá,Ìwọ̀-oòrùn
425,Kíni Yorùbá ń pe 'flamingo'?,option_1,,Ẹyẹ-omi,Adìẹ,Ẹyẹlé,Odídẹrẹ́,Àṣá
426,Kíni Yorùbá ń pe 'squat'?,option_1,,Jóòkó,Rìn,Jóòkó,Fò,Sùn
427,"Parí òwe Yorùbá yìí
 Ajogún Ifá tó ní òun kò ní kú mọ …",option_3,,Ifá á gbè é,.kí ló máa ṣe?,Ẹni tó tefá gan dàà,baba rẹ̀ ti kú,ó ti di babaláwo
428,"Kíni ""North"" ní Yorùbá?",Àríwá,,Gúúsù,Gúúsù-Ìwọ-oòrùn,Ìlà-oòrùn,Àríwá,Ìwọ̀-oòrùn
429,Tí Yorùbá bání ẹ̀ẹ̀yàn 'pẹ̀ ọ̀rọ̀ sọ'. Kí ló tún mò sí?,option_4,,Ó ń sọ̀rọ̀ púpọ̀,Ó ń pariwo,Ó ń kùn,Kòfẹ́ fi gbogbo ẹnu sọ̀rọ̀,Ó ń fi ọ̀rọ̀ ṣeré
430,"Kíni ""Education Manager"" ní Yorùbá?",option_2,,Olùkọ́,Ìṣàkóso Ẹ̀kọ́,Akẹ́kọ̀ọ́,Olórí ilé-ìwé,Oníṣẹ́ ọ̀gbà
431,"Kíni ""Guinea worm"" ní Yorùbá?",option_1,,Sòbìà,Kòkòrò,Ìdin,Eṣinṣin,Oyin
̀432,Àwọn wo ni Yorùbá ń pè ní 'ọjẹ',option_3,,Adáhunṣe,Babaláwo,Eléégún,Oníṣègùn,Wòlíì
433,"Parí òwe Yorùbá yìí
 Òṣùpá là a ní kò gún...",option_4,,ṣùgbọ́n ó ń tan ìmọ́lẹ̀,ìràwọ̀ ló gún jù,oòrùn ti wọ̀,"Ẹni tọ́wọ́ ẹ̀ bá to, kó lo tun ṣe",ó yàtọ̀ sí oòrùn
434,Ìlú wo ni wón ti ń bí 'Ìbejì' jùlọ ní ilè Yorùbá,option_4,,Ilé-Ifẹ̀,Ọ̀yọ́,Ìbàdàn,Igbó-ọrà,Abẹ́òkúta
435,"Kíni ""Relationship"" ní Yorùbá?",option_2,,Ìfẹ́,Ìbáṣepọ̀,Ìgbéyàwó,Ọ̀rẹ́,Aládùúgbò
436,"Kíni ""Pretence"" ní Yorùbá?",option_3,,Irọ́ pípa,Ìwà ọ̀dàlẹ̀,Ìdíbọ́n,Èké,Ojúkòkòrò
437,"""Kínì ìtumọ̀ àkànlò-èdè yìí? 
 Te nkan nidi""",option_2,,Fi nǹkan pamọ́,Lílo ọgbọ́n àlùmọ̀kọ́rọ́yí láti fi kó ọrọ̀ jọ,Gbé nǹkan kalẹ̀,Fọ́ nǹkan túútúú,Tà nǹkan kan
438,"""Kíni àkọ́lé orúkọ ọba Ijesha?""",option_5,,Aláàfin,Olúbàdàn,Aláké,Awùjalẹ̀,Ọwá
439,"Parí òwe Yorùbá yìí
 Àjánàkú kọjáa mo rí nkan firí",option_1,,Tí a bá rérin ká sọpé a rérin,.ọmọdé sá pa lọ́,agbára rẹ̀ pọ̀ jù,ó ba igi jẹ́,àwọn ọdẹ bẹ̀rù
440,"Kíni ""Debate"" ní Yorùbá?",option_3,,Ìjíròrò,Ìfọ̀rọ̀wérọ̀,Ìtàkùọ̀rọ̀so,Àríyànjiyàn,Ìjà
441,Kíni ìyàtọ̀ láàrin ìtòsí ati ìjọsí?,"Ìtòsí -–Súnmọ́
 Ìjọ́sí -–Jìnà",,Kò sí ìyàtọ̀,"Ìtòsí -–Súnmọ́
Ìjọ́sí -–Jìnà","Ìtòsí -–òtútù
Ìjọ́sí -–ooru ","Ìtòsí -–omi
Ìjọ́sí -–ilẹ̀ ","Ìtòsí -–òkè
Ìjọ́sí -–ìsàlẹ̀ "
442,Kíni ìyàtọ̀ láàárín ìpààrọ̀ àti ìyípadà?,"Ìpààrọ̀ - Replace
 Yípadà - Change",,"Ìpààrọ̀ - dídúró
Yípadà - jíjókòó ","Ìpààrọ̀ - Replace
Yípadà - Change","Ìpààrọ̀ - ìbẹ̀rẹ̀
Yípadà - òpin","Ìpààrọ̀ - rírìn
Yípadà - òpin","Ìpààrọ̀ - nǹkan tó dára
Yípadà - nǹkan tó burú"
443,"Kíni ""Protest"" ní Yorùbá?",Ìfẹ́ónúhàn,,Ìwọ́de,Ìsìnkú,Ìgbéyàwó,Ìdùpẹ́,Ìṣọ̀kan
444,"Kíni ""National Assembly"" ní Yorùbá?",option_2,,Ilé ìjọba,Ìgbìmọ̀ aṣòfin àgbà,Ààfin ọba,Ilé ìwé,Ilé ìwòsàn
445,"Kíni ""Canopy"" ní Yorùbá?",option_5,,Òrùlé,Fèrèsé,Ògiri,Àgọ́,Àtíbàbà
446,Àwọn ọmọ wo ni Yorùbá ń pè ní 'Kòsọkọ' àti pé kíni ìdí tí a fi ń pè wọn bẹ?,"Àbíkú ọmọ ni wọ́n ń pè ní Kòsọ́kọ́
 A máa ń pe wọ́n bẹ́ẹ̀ nítorípé ọkọ́ ni a máa fi ń wa ilẹ̀ látìi fi sin òkú",,Ìbejì nítorí wọ́n jẹ́ méjì,"Àbíkú ọmọ ni wọ́n ń pè ní Kòsọ́kọ́
A máa ń pe wọ́n bẹ́ẹ̀ nítorípé ọkọ́ ni a máa fi ń wa ilẹ̀ látìi fi sin òkú",Àbúrò nítorí ó kéré,Àkọ́bí nítorí ó kọ́kọ́ jáde,Ìdòwú nítorí ó tẹ̀lé ìbejì
447,Tí Yorùbá bá sọpé Igi imú jìná sórí... kíni wọn ń gbìyànjú láti sọ pẹ̀lú àpẹrẹ,option_3,,Orí tóbi ju imú lọ,Igi gùn gan-an,Kí ènìyàn kan ju ẹnìkéjì lọ,Imú wà lórí,Nǹkan kò rọrùn
448,"Kíni Yorùbá ń pè ní mọ̀gúdú?""",Ìkokò tó tóbi (A big wolf),,Ìkòkò kékeré,Apẹ,Ìkokò tó tóbi ,Kòlòbó,Oúnjẹ
449,"Parí òwe Yorùbá yìí ""bí èbù ò rà...""",option_2,,.iyán ò ní dùn,A ò lè rí ègbodò,kí á wá omi mu,a ó jẹ ẹ́ bẹ́ẹ̀,ó ti gbó jù
450,"Parí òwe Yorùbá yìí
 Bí abá sọrọ tán ẹrín làá rín...",option_1,,"bí a bá yó tán, orun níí kun ni",kí á tó lọ ilé,.bí ọ̀rọ̀ bá dùn mọ́ni,ká má fì í bú ọba,.àwàdà ló pọ̀ níbẹ̀
