S/N,Question,Answer,Unnamed: 3,option_1,option_2,option_3,option_4,option_5,GPT4o_Answer,GPT_Match,Score (%)
271,"Kíni ""Conspiracy"" ní Yorùbá?",option_1,,Ọ̀tẹ̀,Ìdààmú,Èké,Àṣìṣe,Ìṣòro,ìṣòro,0,20.208333333333332
272,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Te oju ile mole""",option_3,,Ṣe ẹni tí kò ní gbà àwọn àlejò,Ṣe ẹni tí kò ní gbà àwọn ènìyàn,Ṣe ẹni tí ò ní gbẹ́bẹ̀,Ṣe ẹni tí kò ní gbà àwọn ènìyàn mìíràn,Ṣe ẹni tí kò ní gbà ìrànlọ́wọ́,option_2,0,20.208333333333332
273,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fara kasa""",option_4,,Gbẹ́ ilẹ̀ fún iṣẹ́,Ṣe àwàrí ìyẹ̀pẹ̀,Gbà ilẹ̀ lọ́wọ́ ẹni,Farapa,Sọ ilẹ̀ di mímọ́,option_3,0,20.208333333333332
274,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Firufona""",option_2,,Ìyípadà èrò,Wà nínú wàhálà,Ṣe àìsàn,Gbà èrò òdì,Rí àlá búburú,option_4,0,20.208333333333332
275,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ko oro je""",option_5,,Gbà gbogbo ọ̀rọ̀,Rántí gbogbo ọ̀rọ̀,Sọ ọ̀rọ̀ náà jáde,Ṣe àyẹ̀wò ọ̀rọ̀,Fagilé ohun tí a sọ,option_3,0,20.208333333333332
276,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Lo se eyo"" (Ease one self)",option_2,,Lọ sùn,Lọ tọ̀,Lọ jó,Lọ kọrin,Lọ ṣiṣẹ́,option_2,1,20.208333333333332
277,Kíni Yorùbá n pè ní 'kùkùté'?,option_3,,Ọ̀dọ̀ igi,Ìṣù igi,Ageku igi,Òkúta,Òjò,option_3,1,20.208333333333332
278,Fi àmí sí òrò yìí Oloopa,option_4,,Ọlóòpà,Òlóòpà,Òlóòpá,Ọlọ́ọ̀pá,Òlòòpà,option_3,0,20.208333333333332
279,"Kíni ""Whirlwind"" ní Yorùbá?",option_1,,Àjà,Àgbálùmọ́,Ẹ̀fúùfù,Òkú,Èéfín,option_3,0,20.208333333333332
280,Parí òwe yìí: 'Àígbọ́fá làá wòkè ...,option_3,,ká lè rí ọ̀nà,ká má baà ṣubú,Ifá kan ò sí ní párá,ká lè mọ ibi tí a ń lọ,ká lè rí àwọn ẹranko,option_4,0,20.208333333333332
281,Fi àmí sí òrò yìí 'Lataarọ',option_4,,Látaarò,Làtáárò,Látaarọ,Látàárọ̀,Lààtáro,option_3,0,20.208333333333332
282,Kíni Yorùbá ń pè 'catapult' or 'sling'?,option_5,,Àgbélébù,Àgbékalẹ̀,Òkùnkùn,Àrùnkárùn,Kànnàkánná,option_3,0,20.208333333333332
283,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Na pápá bora""",option_4,,Dúró,Múrá,Sọ̀rọ̀,Sálo,Rájà,option_3,0,20.208333333333332
284,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ìfétíléko""",option_2,,Ìgbàgbọ́,Retí èsì tàbí ìdáhùn làti ibìkan,Àròyé àìlọ́gbọ́n,Ìwà àìníìdí,Ìṣe àìlérè,option_3,0,20.208333333333332
285,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Tanilolobo""",option_3,,Ọ̀rọ̀ tí a sọ láti fi ènìyàn ṣe yẹ̀yẹ́,Ìtàn àròsọ tí kò ní òtítọ́ nínú,Sọ̀rọ̀ fún èèyàn ṣáájú ǹkan tó fẹ́ ṣẹlẹ̀,Ìròyìn èké tí a gbọ́ láti ìta,Ọ̀rọ̀ tí a sọ láti fi ènìyàn ṣe ẹlẹ́yà,option_5,0,20.208333333333332
286,"Kíni ""Bear"" ní Yorùbá?",option_1,,Ọ̀fàfà,Àgbò,Ìjímèrè,Àparò,Erin,option_4,0,20.208333333333332
287,"Kíni ""Camel"" ní Yorùbá?",option_3,,Ọ̀fàfà,Àgbò,Ràkúnmí,Àparò,Erin,option_2,0,20.208333333333332
288,"Kíni ""Gorilla"" ní Yorùbá?",option_5,,Ẹranko ńlá,Ọ̀gá ńlá,Ẹ̀rankò òkùnkùn,Erin,Ìnàkí,option_4,0,20.208333333333332
289,"Kíni ""Hippopotamus"" ní Yorùbá?",option_5,,Erìn,Àparò,Ẹṣin-omi,Màlúù-odò,Ẹrinmí,option_5,1,20.208333333333332
290,"Sọ ìtumọ̀ òwe yìí:
 Ènì tó torí òtútù fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti jẹ̀yàn",option_3,,Ẹni tó torí ìbínú fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti rí àlàáfíà,Ẹni tó torí ìgbéraga fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti rí ìwà rere.,"Kí ènìyàn máa ṣe ohun tóyẹ kó ṣe, kí ó sì máa retí èsì",,Ẹni tó torí ìwà àìtọ́ fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti rí ìtẹ́wọ́gbà,ẹni tó torí ìwà àìtọ́ fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti rí ìtẹ́wọ́gbà,0,20.208333333333332
291,"When the elders say:
 Dátóró dátóró dátóró, àgbà tí kò dátóró, omi ọbẹ̀ láámu.
 What does it mean?""",option_4,,"Àgbà tí kò ṣiṣẹ́, ebi á pa á","Àgbà tí kò rò, àwọn ọmọ á ṣe ẹlẹ́yà rẹ̀","Àgbà tí kò gbọ́n, ìyà á jẹ ẹ́.",Àgbà tí kò ṣe ojúṣe kò ní rí owó tàbí ohun tó tọ si gbà,"Àgbà tí kò wòran, òfò á ṣe é",option_3,0,20.208333333333332
292,"Parí òwe yìí:
 Ìbínú kò ṣe nkan...",option_2,,àyàfi ìrora ọkàn,Sùúrù ni baba ìwà,àyàfi ìjà àti ìforígbárí,ìfẹ́ ni ó ní agbára,ìdájọ́ ni ó máa tẹ̀lé,option_2,1,20.208333333333332
293,"Parí òwe yìí:
 ọmọ kò láyòlẹ..",,,àgbà ló ní ọgbọ́n,ìwà ló jẹ́ ènìyàn,ìwé ní ìmọ̀,ìṣẹ́ ló ń gbéni ga,ìfẹ́ ni ìbùkún,option_3,0,20.208333333333332
294,"Kíni ""Communication"" ní Yorùbá?",option_1,,Ìbáraẹnisọ̀rọ̀,Ìgbọ́ràn,Ìdánilẹ́kọ̀ọ́,Ìròyìn,Ìwádìí,option_5,0,20.208333333333332
295,Ṣàlàyé Orúkọ yìí: òkánlàwọ́n,option_5,,Ọmọ  tí ó ní ọ̀pọ̀lọ̀pọ̀ ènìyàn,Orúkọ fún ilé tí ó ní ọ̀pọ̀lọ̀pọ̀ àwọn ohun,ohun tí ó ní ọ̀pọ̀lọ̀pọ̀ ẹ̀ka,iye tí ó pọ̀ ju ọ̀kan lọ,Ọmọ obìnrin tàbí okùnrin tí a bí la àwọn ọmọ tókù ní ìdílé kan,option_3,0,20.208333333333332
296,"Kíni ""Addiction"" ní Yorùbá?",option_2,,Ìfẹ́kúfẹ̀ẹ́,Bárakú,Ìfẹ́júmọ́ra,Ìgbẹ́kẹ̀lẹ́,Àṣejù,option_3,0,20.208333333333332
297,Kíni 'formal letter' àti 'informal letter' ní Yorùbá,"Lẹ́tà Gbẹ̀fẹ́ - Informal
 Lẹ́tà Àìgbẹ̀fẹ́ - Formal",,"Lẹ́tà Ìrọ̀rùn - Informal
Lẹ́tà Ìlànà - Formal","Lẹ́tà Ọ̀rẹ́ - Informal
Lẹ́tà Àṣẹ - Formal","Lẹ́tà Gbẹ̀fẹ́ - Informal
Lẹ́tà Àìgbẹ̀fẹ́ - Formal","Lẹ́tà Ìgbádùn - Informal
Lẹ́tà Ìjẹ́pàtàkì - Formal","Lẹ́tà Ìṣọ̀kan - Informal
Lẹ́tà Àṣẹ́yọrí - Formal",option_1,0,20.208333333333332
298,"Kíni ""Fiancee"" ní Yorùbá?",option_4,,Àbúrò-ọkọ,Ìyàwó-ọ̀dẹ́,Ìyàwó-ìlú,Àfẹ́sọ́nà,Ọ̀rẹ́-àgbà,option_4,1,20.208333333333332
299,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eja n bakan""",option_1,,Látì fi mọ̀ bóyá ǹkan tí a lérò ló bọ́ sí tàbí ìdàkejì,Láti mọ̀ pé ǹkan tí a rà lè darà pọ̀ mó ǹkan mìíràn,Láti mọ̀ pé ó lè ṣeé ṣe láti pàárọ̀ ǹkan méjì,Láti mọ̀ pé ìmọ̀ kan lè mú àyè mìíràn wá,Láti mọ̀ pé àṣa kan lè yatò sí àṣa mìíràn,option_4,0,20.208333333333332
300,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ikalaya""",option_2,,Ohun tó léwu púpọ̀,Ohun tó kọjá agbára,Ohun tó nira gidigidi,Ohun tó rọrùn,Ohun tó burú jáì,option_5,0,20.208333333333332
301,"Kíni ""Ass"" ní Yorùbá?",option_1,,Kẹ́tẹ́kẹ́tẹ́,Ẹja,Àgbàdo,Ẹ̀gbọ̀n,Ilé,your provided question seems to be missing. please provide the question so i can determine the correct option,0,20.208333333333332
302,"Kíni ""Bat"" ní Yorùbá?",option_3,,Ìgbín,Àgùntàn,Àdán,Ẹyẹ,Ẹja,"please provide me with the question or context that these options relate to, so i can accurately determine the correct answer",0,20.208333333333332
303,"Parí òwe yìí.
 Eni yá ẹ̀gbẹ̀fà tí ò san",option_3,,ìjà ló ń wa,ó di aláìnígbà,Ó ti gbẹ́gi dínà egbèje,òun àti ọ̀rẹ́ rẹ̀ ti yà,ilé ẹjọ́ ló máa lọ,option_4,0,20.208333333333332
304,"""Ọjọ wo, oṣù wo ni a dá Ìpínlẹ̀ Òndó.""",option_1,,"Ọjọ́ Kẹta, Oṣù Èrèlé (03/02)","Ọjọ́ Kẹwàá, Oṣù Ògún (10/06)","Ọjọ́ Kejìlélógún, Oṣù Ẹ̀bìbì (22/08)","Ọjọ́ Kẹrinlá, Oṣù Ọ̀wẹ̀wẹ̀ (14/07)","Ọjọ́ Kẹtàlélógún, Oṣù Òkùdù (23/12)",option_4,0,20.208333333333332
305,"Kíni ""Entrepreneurship"" ní Yorùbá?",option_2,,Ìdàgbàsókè,Ìṣòwò,Ìṣètò Ìṣòwò,Ìgbésẹ̀ Ọ̀rọ̀ Ajé,Ìdásílẹ̀ Ọjà Tuntun,option_4,0,20.208333333333332
306,"Kíni ""Job Interview"" ní Yorùbá?",option_3,,Ìwádìí iṣẹ́,Ìbéèrè iṣẹ́,Ìfọ̀rọ̀wánilẹ́nuwò fún iṣẹ́,Àyẹ̀wò iṣẹ́,Ìdánwò iṣẹ́,option_3,1,20.208333333333332
307,"Kíni ""Screen"" ní Yorùbá?",option_5,,Ẹ̀rọ-ìfihàn,Ìtàn-ojú,Ilé-àwòrán,Àwòrán-ìdánimọ̀,Atẹ agbàwòrántàn,option_3,0,20.208333333333332
308,"Kíni ""Insurance"" ní Yorùbá?",option_2,,Ìwé Ìṣọ́ra,Adójútòfò,Ààbọ̀ Ọrọ̀-Ajé,Ètò Ìpamọ́ Ìnáwó,Àdéhùn Ìtọ́jú Ọrọ̀,option_2,1,20.208333333333332
309,"""Parí òwe yìí.
 Igi gògóró má gún mí lójú...""",option_4,,nínú àlá mi,nígbà tí mo sùn,lórí òkè yìí,Àtòkèèrè làti lọ́,nígbà tí mo ń lọ,option_2,0,20.208333333333332
310,"Kíni ""Shares"" ní Yorùbá?",option_4,,Àwọn Ìpín,Ìpínlẹ́,Àwọn Ọwọ́,Ìpín okòwò,Ìdágbà,"i'm sorry, but i cannot determine the correct option without the actual question being provided. please include the specific question you need assistance with",0,20.208333333333332
311,Ta ló kọ ewì “Ìṣẹ̀ l’ògún Ìṣẹ̀” àti ní ọdún wo?,option_4,,A.O. Ọlátúnjí - 1965,C.O. Ọ̀gúndélé - 1948,D.I. Ọ̀kẹ́yẹmí - 1980,J.F. Ọdúnjọ - 1950,F.K. Adébáyọ̀ - 1960,option_4,1,20.208333333333332
312,"Kíni ìtumọ̀ “The fall of Naira, the rise of entrepreneur” ní Yorùbá?",option_1,,"Ìṣúbù Nàírà, ìgbésókè àwọn oníṣòwò","Ìṣubú Náírà, ìgbéga àwọn olùṣọ́ àgùntàn","Ìdàgbà Náírà, ìdàgbà àwọn akọrin","Ìrẹ̀lẹ̀ Náírà, ìgbéga àwọn alásọ","Ìdínkù Náírà, ìdàgbà àwọn apẹja","ìṣubú náírà, ìgbéga àwọn alásọ",0,20.208333333333332
314,"Parí òwe Yorùbá yìí
 Títa rírò là ń kòlà...",option_5,,kí a tó gbélé,kí a tó gbìn oko,kí a tó hun aṣọ,kí a tó gbẹ́ igi,Tó bá jiná tán á doge,option_2,0,20.208333333333332
315,Tani Gómìnà alágbádá àkọ́̀kọ́ ní Ìpínlẹ̀ Òndó?,option_2,,Olóyè Samuel Ọlániyì Adébáyò,Olóyè Michael Adékúnlé Ajáṣin,Olóyè David Ìféolúwá Ọláwólé,Olóyè Peter Ọláyínká Adéṣiná,Olóyè John Olúwáṣéun Ọmótóyè,option_2,1,20.208333333333332
317,"""Aláké"" is to Ègbá, what is the title of the king in ""Oshòdì town"" of Lagos State?",option_4,,Adéṣínà,Bàáléọjà,Ọmọ́ọba,Kòsọ́ba lóṣhòdì,Aṣíwájú,option_5,0,20.208333333333332
318,"Kíni ""Private Company"" ní Yorùbá?",option_4,,Àjọ Ìṣòwò Ìkọ̀kọ̀,Ẹgbẹ́ Ọjà Ìyàsọ́tọ̀,Ilé-iṣẹ́ Ìpamọ́,Ilé-iṣé aládàni,Ilé-iṣẹ́ Ìkọ̀kọ̀,option_3,0,20.208333333333332
319,"Kíni ""Mentor"" ní Yorùbá?",option_3,,Olùdarí,Olùtọ́jú,Àwòkọ́se,Olùṣọ́,Olùbẹ́wò,"i'm sorry, i need more context or information on the question to determine the best answer from the options provided. could you please specify the question or the context in which these options are given?",0,20.208333333333332
320,What is the meaning of this ancient word 'Nínú ẹ̀gbin ni ọlá ń gbé'?,option_1,,"Tí ènìyàn bá fẹ́ ní ọlà, ó gbùdọ̀ ṣe ohun tí yíò mú ohun ìwòsí tàbí ìdọ̀tí báa",Nínú ọrọ̀ ni àìsàn ń gbé,Nínú òkùnkùn ni ẹ̀rù ń gbé,Nínú ìjà ni ìbínú ń gbé,Nínú ọ̀yẹ̀ ni òtútù ń gbé,option_3,0,20.208333333333332
321,Kíni ìtumọ̀ ọ̀rò yìí 'ìwọfà'?,option_2,,Àlejò,Ẹrú,Àgbẹ̀,Ọ̀ṣìṣẹ́,Ìránṣẹ́,"i'm sorry, i need more context about the question to provide the correct option. could you please provide the question or more details?",0,20.208333333333332
322,Kíni 'àdìrò' túmò sí?,option_4,,Orí ibi tí a ti máa ń gbàdúrà.,Orí ibi tí a ti máa ń sùn,Orí ibi tí a ti máa ń kọrin,Orí ibi tí a ti máa ń dáná,Orí ibi tí a ti máa ń rà ọjà,option_3,0,20.208333333333332
323,Kíni 'ídán' túmò sí ní èdè Yorùbá?,option_2,,Ẹ̀wà,Ohun tí a ṣe tí ó ṣe ènìyàn ní kàyéfì,Ohun tí a ṣe tí ó mú kí ènìyàn bínú,Ohun tí a ṣe tí ó mú kí ènìyàn ṣàìsàn,Ohun tí a ṣe tí ó mú kí ènìyàn gbàgbé,option_2,1,20.208333333333332
324,Kíni ìgìrìpá/gìrìpá túmò sí? Njẹ́ o le ṣàlàyé?,option_2,,Àwọn tó rọ̀,Àwọn tó ga,Àwọn tó gbóná,Àwọn tó tutù,Àwọn tó yára,option_4,0,20.208333333333332
325,"Kíni ""Crab"" ní Yorùbá?",option_3,,Àgbákò,Ìṣù,Akàn,Ẹ̀fó,Àgbà,"i'm sorry, but there is no specific question provided for me to analyze and determine the best answer. please provide the question or context related to the options given",0,20.208333333333332
326,Kíni à ń pè ní 'òtítà'?,option_4,,Àgọ̀,Àṣọ,Àdá,Àpótí,Àtọ̀,option_2,0,20.208333333333332
327,"Kíni ""pig"" ní Yorùbá?",option_2,,Àgùntàn,Ẹlẹ́dẹ̀,Ọ̀bo,Ẹranko,Àgbọ̀nrín,option_4,0,20.208333333333332
328,"Kíni ""pot"" ní Yorùbá?",option_1,,Ìkòkò ìdáná,Àpótí,Ìgò,Àwo,Agbọ̀n,option_1,1,20.208333333333332
329,"Kíni ""fox"" ní Yorùbá?",option_3,,Ìjàpá,Ẹkùn,Kọ̀lọ̀kọ̀lọ̀(Ajá igbo),Àgùntàn,Àdán,option_1,0,20.208333333333332
330,"Kíni ""sheep"" ní Yorùbá?",option_3,,Àgbọ̀nrín,Àgùnfọn,Àgùntàn,Kọ̀lọ̀kọ̀lọ̀,Àgádágodo,option_3,1,20.208333333333332
331,"Kíni ""House of representatives"" ní Yorùbá?",option_5,,Àpéjọ Àwọn Ọ̀gá,Àwọn Ọ̀gá Ìlànà Ìjọba,Àjọ Àwọn Alágbà,Àwọn Ẹni Ìṣèjọba,Ilé ìgbìmọ aṣójúṣòfin,ilé ìgbìmọ aṣójúṣòfin,0,20.208333333333332
333,"Sàlàyé òwe yì: 
 Ènì rúbọ òrìṣà á gbọ́dọ̀ rú ti èèyàn kí ẹbọ ó tó gbà",option_1,,Irú ẹni bẹ́ẹ̀ gbúdọ̀ tẹ́ àwọn ènìyàn ní àyíká rẹ̀ lọ́rùn,Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa pín oúnjẹ àwọn ènìyàn tó wà ní ìlú,"""Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ jẹ́ kí àwọn ènìyàn máa ṣe ìpinnu fún un","""Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa gbọ́ ọ̀rọ̀ àwọn ènìyàn láìsí àríyànjiyàn","Ẹni tó rúbọ sí òrìṣà gbọ́dọ̀ máa ṣe ohun tí àwọn ènìyàn fẹ́, láìka ohun tó wù ú",option_1,1,20.208333333333332
334,"Parí òwe yìí:
 'Àjọ kìí dùn...'",option_3,,bí kò bá sí oúnjẹ,láìsí ìṣòro,Kódídẹ́ má rèwò,láìsí ọ̀rọ̀,títí gbogbo ènìyàn yóò fi dé,option_2,0,20.208333333333332
335,"Parí òwe yìí:
 Ènì tí yóò mu ẹkọ́ fòró..",,,yóò fi ọwọ́ gbà á,yóò gbàgbé ìyọ̀,yóò sùn lórí ilẹ̀,yóò fi epo ṣè é,yóò fi òkúta gún un,option_5,0,20.208333333333332
336,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Feraku""?",option_5,,Àìsàn,bínú,Òtútù,bẹ̀rù,Lóyún,option_2,0,20.208333333333332
337,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Terigbaso""?",option_4,,Ṣe àìnírètí,Ṣe àìlélẹ̀,Ṣe àìníṣẹ́,Ṣe aláìsí,Ṣe àìnígbàgbọ́,option_5,0,20.208333333333332
338,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fakoyo""?",option_2,,Ṣe kánkán,Ṣe dáradára,Ṣe jẹ́jẹ́,Ṣe títọ́,Ṣe díẹ̀,option_2,1,20.208333333333332
339,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi oju oloore gungi""?",option_3,,Àìgbọ́ràn,Àìníyì,Aláìmoore,Àìlọ́gbọ́n,Àìlèṣe,option_3,1,20.208333333333332
340,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi imu danrin""?",option_1,,Fìyà jẹ ènìyàn,Fi ọwọ́ gbá ilẹ̀,Fi eyín gé irin,Fi ojú gbọ́ ọ̀rọ̀,Fi èékánná kó omi,option_3,0,20.208333333333332
341,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbonu""?",option_5,,Sọ àwítẹ́lẹ̀,Kọ̀wé lẹ́tà,Ṣe ìwádìí,Sọ ìtàn,Jẹ iyàn(argue),option_1,0,20.208333333333332
342,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Runparunse""?",option_3,,Fi àṣọ wọ àṣọ,Fi ìwé kọ ìwé,Fi gbogbo agbára ṣe ǹkan,Fi ọjà tà ọjà,Fi igi gé igi,option_3,1,20.208333333333332
343,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Pa eniyan bi ejo aije""?",option_3,,Ṣe ènìyàn bí òkúta,Fi ènìyàn sílẹ̀,Lu ènìyàn ní ìlùkulù,Ṣe ènìyàn bí ẹni tí a kò rí,Ṣe ènìyàn bí ẹni tí a kò gbọ́,option_5,0,20.208333333333332
344,"Kíni ""field"" ní Yorùbá?",option_2,,Àgbàlá,Pápá,Ọjà,Òkè,Igbó,could you please provide the question you want me to analyze and answer accurately?,0,20.208333333333332
345,"Kíni ""Giraffe"" ní Yorùbá?",option_3,,Àgùntàn,Àgbọ̀nrín,Àgùnfọn,Màlúù,Àparò,àgùntàn,0,20.208333333333332
346,"Kíni ""Permanent voter's card"" ní Yorùbá?",option_4,,Ìwé Àṣẹ Ìdìbò Láláìpẹ́kun,Kààdì Ìdúróṣinṣin Ìdìbò,Ìwé Ìṣẹ̀dá Ìdìbò,Ìwé ìdìbò alálòpẹ́,Kààdì Ìfọwọ́sowọ́pọ̀ Ìdìbò,option_3,0,20.208333333333332
347,"Sàlàyé òwe yì: 
 Àjèsílẹ̀ gbèsè tí ò jẹ́ kí ẹ̀gbẹ̀fà tóó ná.",option_1,,"Tí ènìyàn báti jẹ gbèsè sílẹ̀, owó tí ẹni náà bá rí kò ní too ná títí dìgbà tó bá ti san gbèsè rẹ̀ tán","Ìṣòro owó tí a kò tíì yanjú, kò jẹ́ kí àlàáfíà ọkàn wà","Ìdààmú àìsí iṣẹ́, kò jẹ́ kí ìgbádùn ayé ṣeé ṣe","Ìjákulẹ̀ àwọn ètò, kò jẹ́ kí ìlọsíwájú wà","Ìwà ìbàjẹ́ àwọn ọmọ, kò jẹ́ kí ìdùnnú òbí wà",option_2,0,20.208333333333332
348,"Parí òwe yìí:
 Èbìtì kò pa èèrà...",,,bí kò ṣe pé ó rìn ní ọ̀nà àìtọ́,bí kò ṣe pé ó wọ inú rẹ̀,bí kò ṣe pé ó ṣubú síbẹ̀,bí kò ṣe pé ó gbàgbé ọ̀nà rẹ̀,bí kò ṣe pé ó wá ìdí rẹ̀,option_2,0,20.208333333333332
349,Tí wọ́n bá sọ pé èèyàn wà 'bias' kí ló túmò sí?,option_2,,ìtẹ́-ìdájọ́,Ojú-ìsájú,Èrò-àìtọ́,Ìfẹ́-ọ̀kan,Èrò-apákan,option_4,0,20.208333333333332
350,Oṣù wo ni à ń pè ní 'Bèlú'?,option_3,,Oṣù kẹ́fà,Oṣù kẹ́ta,Oṣù kọ́kọ̀nlá,Oṣù kẹ́jọ,Oṣù kẹ́wàá,option_3,1,20.208333333333332
351,Kí ni orúkọ tí a ń fún ọmọbìnrin tí a bí tí ó gbé òlùbí kòrùn?,option_4,,Ìdòwú,Ọlá,Bọ́lá,Àìná,Adé,i need the actual question to provide the correct option. could you please provide the question?,0,20.208333333333332
352,Fi àmín sí orọ̀ yìí “Akanlo ede”,option_2,,Àkànlọ́ èdè,Àkànlò èdè,Akànlò édè,Àkànlò èdé,Akànlọ́ èdè,option_2,1,20.208333333333332
353,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Figagbaga""?",option_3,,Ìgbésẹ̀ àìtọ́,Èrò àìlẹ́sẹ̀nílẹ̀,Ìdíje,Ọ̀rọ̀ àìníìdí,Ìwà àìtó,option_5,0,20.208333333333332
354,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Erinwo""?",option_1,,Ṣe aláìsí,Ṣe àìsàn,Ṣe àwàrí,Ṣe àríyànjiyàn,Ṣe àṣeyọrí,option_5,0,20.208333333333332
355,"Kíni ""Advertisement"" ní Yorùbá?",option_2,,Ìfihàn,Ìpolówó,Ìkéde,Ìtàn,Ìtàn Ìfihàn,option_3,0,20.208333333333332
356,Why do they say 'dágunrò' is inedible'?,option_3,,Dágunrò ní oró,Dágunrò ní iyọ̀,Dágunró ní ègún,Dágunrò ní àpá,Dágunrò ní ìyèpè,option_3,1,20.208333333333332
357,Orúkọ wo ni wọ́n fún ọmọ tí a bí tí kò ke?,option_4,,Ìdòwú,Àkànní,Ṣọlá,Òní,Fẹ́mi,"please, i need the actual question to provide an accurate answer with the correct option",0,20.208333333333332
358,"If potters are called 'amọ̀kòkò, calabash designers are called what?",option_3,,Agbẹ́igbá,Aṣẹ́igbá,Afíngbá,,,option_2,0,20.208333333333332
359,"Deji ni oba ilu akure, kini won n pe, oba ilu ijebu",option_2,,Aláké,Àwùjalẹ̀,Ọ̀ọ̀nì,Ọ̀bà,Èwí,"this question is difficult to analyze as the question itself is not fully presented. however, i will provide brief information on the titles that might help with determining an answer for a different kind of question related to yoruba traditional leadership titles:

1. aláké - the traditional title for the ruler of egbaland in nigeria.
2. àwùjalẹ̀ - the traditional title for the ruler of ijebuland.
3. ọ̀ọ̀nì - the traditional title for the ruler of ile-ife.
4. ọ̀bà - a general title for kings in yorubaland.
5. èwí - the traditional title for the ruler of ado-ekiti.

each of these titles relates to different regions and royal lineages within yorubaland.

if you would like to provide additional context or a specific question, i'd be happy to help analyze further and identify the best option for the correct context",0,20.208333333333332
360,"Kíni ""Duplicate"" ní Yorùbá?",option_5,,Ìtàn,Àyípadà,Ẹ̀kọ́,Ẹ̀sùn,Ẹ̀dà,option_1,0,20.208333333333332
361,"Kíni ""Earth worm"" ní Yorùbá?",option_3,,Ajá,Ìròyìn,Ekòló,Ìdin,Lápálápá,option_3,1,20.208333333333332
362,"Kíni ""Scissors"" ní Yorùbá?",option_2,,Ìgò,àlùmógàjì,Èdè,Ọ̀bẹ,Dàgà,"this question does not provide the specific content or context needed to determine which option is correct. however, based on the options provided:

- ""ìgò"" means ""bottle.""
- ""àlùmógàjì"" is not a standard yoruba word in common dictionaries, and might not have a recognized meaning.
- ""èdè"" means ""language"" or ""tongue.""
- ""ọ̀bẹ"" means ""soup"" or ""knife"" depending on the context.
- ""dàgà"" is not a standard yoruba word in common dictionaries and might refer to a local or contextual name or term.

without additional context or a specific question, providing a definitive answer is challenging. however, if this is related to common yoruba words or elements of speech, then:

option_3",0,20.208333333333332
363,"Kíni ""Brewery"" ní Yorùbá?",option_3,,Ilé ìtajà,Gbàgede ọtí,Ilé-iṣẹ́ ìpo-ọtí,Ọjà,Ilé ìwé,option_4,0,20.208333333333332
364,"Kíni ""Cricket"" ní Yorùbá?",option_3,,Èṣíṣí,Lápálápá,Ìrẹ̀,Alàǹgbá,Èèrà,option_2,0,20.208333333333332
365,"Kíni ""Ram"" ní Yorùbá?",option_3,,Òbúkọ,Ẹlẹ́dẹ̀,Àgbò,Kẹ́tẹ́kẹ́tẹ́,Ẹṣin,option_2,0,20.208333333333332
366,"""Parí òwe yìí:
 Èbì tí kò pa èèrà""",option_1,,"Èbìtì ò pa èèrà, ará ilé ẹni níí ṣe ni",Kò lè pa ejò,Kò ṣe pàtàkì,Bí afẹ́fẹ́ ni,Kò dùn rárá,option_2,0,20.208333333333332
367,"Kini itumo owe yi:
 Ènì tó ma ń tẹ òkú òpòló, yí ò ní ilé Ogbóni tirẹ̀ lọ́tọ̀",,,Ẹni tó bá ṣiṣẹ́ yóò jẹun,Má fi ọwọ́ òsì júwe ilé baba rẹ,Ìwà ìbàjẹ́ kò dáa,Àìbọ̀wọ̀ fún àgbà,Ìgbéraga ni síwájú ìparun,option_5,0,20.208333333333332
